Name,Team,G,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,FB,EV,Barrels,SB,playerid,DK Average
Tomas Nido,NYM,45,143,26,3,0,0,10,13,6,0,42,1,22,86.7,3,0,13755,3.40
Jarred Kelenic,SEA,30,96,6,2,1,3,10,10,9,0,36,0,25,84.5,5,4,22558,4.80
Donovan Walton,- - -,20,62,2,7,0,1,9,8,1,0,11,1,16,85.4,3,0,19314,4.45
Yadier Molina,STL,40,138,22,5,0,2,10,10,2,0,23,0,48,87.2,4,1,7007,4.00
Aristides Aquino,CIN,31,90,8,4,0,3,10,7,3,0,41,0,18,84.8,5,2,15482,4.00
Jason Krizan,SFG,3,10,1,0,0,0,0,0,2,0,3,0,2,94.5,0,0,12394,2.33
Kevin Smith,OAK,47,151,13,9,1,2,9,13,7,0,42,0,45,87,8,4,20242,4.04
Alex Kirilloff,MIN,19,64,8,4,0,0,4,9,2,0,19,1,17,90.9,1,0,20325,4.00
Ernie Clement,CLE,41,113,17,3,0,0,12,5,7,0,18,2,28,86,4,0,20352,2.88
Jack Mayfield,LAA,23,74,10,1,1,1,8,6,3,0,17,1,22,84.5,1,1,15402,4.09
Dom Nunez,COL,12,36,3,1,0,0,3,2,6,0,7,0,14,85.3,1,0,15055,3.00
Brett Phillips,TBR,54,158,15,4,0,4,15,10,11,0,65,1,32,88.9,4,6,14735,3.87
Bryson Stott,PHI,46,157,16,4,0,4,19,20,11,0,38,0,49,85.7,4,2,26294,4.74
Tyler Heineman,- - -,32,87,11,4,0,0,9,4,5,0,11,1,25,82.7,0,1,13897,3.00
Austin Hedges,CLE,49,160,17,1,0,5,13,15,10,0,40,2,47,83.5,4,1,12976,3.90
Martin Maldonado,HOU,52,181,13,6,0,5,18,16,13,0,57,2,45,91,10,0,6887,4.17
Alex Jackson,MIL,5,12,3,0,0,0,0,0,0,0,7,0,1,79.7,0,0,17276,1.80
Mike Zunino,TBR,36,123,9,3,0,5,7,16,6,0,46,1,38,91.8,6,0,13265,4.22
Drew Ellis,- - -,7,17,2,1,0,0,2,1,1,0,7,0,3,88.4,0,0,19873,2.71
Steven Duggar,- - -,13,40,4,3,0,0,2,4,2,0,16,0,10,92.8,2,4,17719,4.85
Justin Upton,SEA,9,34,3,1,0,0,0,2,4,0,13,1,8,86.3,0,0,5222,3.11
David Fletcher,LAA,14,41,3,2,1,0,2,2,3,0,2,0,14,82.8,0,0,17992,2.93
Steele Walker,TEX,5,16,0,0,0,1,1,1,2,0,4,0,5,88.2,2,0,22093,3.60
Patrick Mazeika,NYM,17,51,4,3,0,1,3,4,2,0,6,0,17,84.7,2,0,18142,3.24
Andrew Velazquez,LAA,67,208,23,6,0,4,21,18,9,0,67,3,44,89.9,7,10,14196,4.34
Jermaine Palacios,MIN,8,28,5,0,0,0,3,2,2,0,7,0,6,89.5,1,0,18371,3.63
Yu Chang,- - -,22,59,5,1,0,1,5,2,4,0,25,3,18,90.3,3,0,14773,2.64
Jose Herrera,ARI,33,90,14,2,0,0,6,4,6,0,28,0,10,84.1,0,0,17040,2.55
Kody Clemens,DET,17,41,3,1,0,1,5,5,4,0,10,0,13,87.9,0,0,20572,3.06
Edmundo Sosa,STL,39,90,13,2,1,0,13,4,2,0,23,3,24,87.9,2,1,17022,2.72
Lorenzo Cain,MIL,43,156,20,5,0,1,17,9,8,0,36,2,31,87.9,0,2,9077,4.12
Aramis Garcia,CIN,40,103,15,2,0,1,5,4,3,0,29,2,26,87.4,2,0,16925,2.33
Kevin Padlo,- - -,9,22,3,1,0,0,0,3,1,0,8,0,6,95,0,0,16593,2.44
Kelvin Gutierrez,BAL,12,33,3,1,0,0,2,3,4,0,8,0,6,89.6,1,1,17468,3.08
Vidal Brujan,TBR,39,135,13,5,0,2,9,15,9,0,31,0,34,86,2,3,20536,4.23
Jake Fraley,CIN,15,48,2,2,0,1,5,3,4,0,12,1,14,85.2,1,1,19260,3.80
Chris Owings,BAL,27,68,4,2,0,0,6,0,10,0,24,1,8,80.4,1,1,10030,2.26
Leury Garcia,CHW,51,182,26,5,0,2,18,12,4,0,39,1,43,87.2,8,1,5913,3.88
Akil Baddoo,DET,17,55,5,1,0,1,5,2,5,0,15,0,15,84.2,1,1,22168,3.47
Juan Lagares,LAA,20,62,8,2,1,0,4,0,2,0,15,0,21,88.4,1,0,5384,2.70
Michael Hermosillo,CHC,17,35,1,1,0,0,2,2,4,0,14,3,4,85.8,3,0,16285,1.76
Bradley Zimmer,TOR,51,73,2,4,0,1,7,1,5,0,30,3,11,87.7,3,1,16221,1.43
Cristian Pache,OAK,65,205,24,5,1,2,15,13,11,0,54,0,36,89.9,6,1,19948,3.20
Mickey Moniak,PHI,9,29,4,0,0,0,2,1,3,0,11,0,3,80.4,0,0,19956,2.67
Bryan Lavastida,CLE,6,15,1,0,0,0,0,0,3,0,4,0,3,87.6,0,0,24765,1.50
Anthony Bemboom,BAL,22,59,3,2,0,1,4,1,6,0,17,0,13,90.1,2,0,13854,2.32
Lenyn Sosa,CHW,3,10,0,1,0,0,2,0,1,0,3,0,1,83.1,0,0,22896,3.67
Paul DeJong,STL,24,86,6,3,0,1,6,7,7,0,25,1,26,86.8,3,3,18015,4.17
Roman Quinn,PHI,23,40,5,1,0,0,8,3,3,0,15,0,9,90.9,1,4,13546,2.96
Rene Pinto,TBR,10,29,4,0,0,1,1,3,0,0,15,0,8,90.5,1,0,19859,3.00
Miguel Sano,MIN,17,65,4,0,0,1,1,3,9,0,21,1,21,93.8,5,1,12164,3.24
Andrew Knapp,PIT,11,35,3,1,0,0,2,2,3,0,9,1,6,85.3,0,0,14942,2.73
Chris Okey,CIN,7,13,2,0,0,0,3,0,0,0,5,1,2,86.2,0,0,19245,2.00
Michael Perez,PIT,27,83,7,0,0,3,4,6,5,0,22,0,28,91.3,4,1,12977,3.19
Alex Dickerson,ATL,13,36,3,0,0,1,3,2,3,0,9,0,11,90.1,2,0,12649,2.69
Manny Pina,ATL,5,17,2,0,0,0,1,2,1,0,1,1,6,81.9,1,0,2829,3.20
Elehuris Montero,COL,7,21,3,1,0,0,1,0,0,0,8,0,6,92.6,3,0,20543,2.29
Sergio Alcantara,- - -,44,94,10,2,1,1,9,10,3,0,24,0,24,86.1,2,0,16417,2.32
Ehire Adrianza,WSN,11,34,4,1,0,0,1,1,2,0,9,0,8,87.2,0,0,8418,2.27
Andrelton Simmons,CHC,27,68,12,0,0,0,6,7,2,0,11,0,14,81.5,0,3,10847,3.00
Jake Marisnick,PIT,22,52,6,2,0,0,5,1,2,0,13,0,13,85.9,0,1,11339,2.23
Phil Gosselin,ATL,5,10,2,0,0,0,2,0,0,0,4,0,3,93.4,0,0,10953,2.00
Jake Meyers,HOU,3,10,2,0,0,0,0,0,0,0,5,0,0,87.3,0,0,20308,2.00
Heliot Ramos,SFG,7,14,2,0,0,0,2,0,1,0,3,0,3,92.8,1,0,22515,1.71
Mark Mathias,MIL,6,17,1,0,0,1,2,4,0,0,4,0,6,90.8,1,1,18032,5.00
Cole Tucker,PIT,18,63,9,1,1,0,3,2,0,0,25,0,10,82.4,3,1,17326,3.06
Robinson Cano,- - -,24,77,10,0,0,1,4,4,3,0,21,0,15,87.2,3,0,3269,2.58
Matt Beaty,SDP,17,40,2,1,1,0,6,1,2,0,6,1,12,84.2,0,0,17710,2.29
Rylan Bannon,BAL,4,15,2,0,0,0,0,0,0,0,5,1,3,88.7,0,0,19768,2.00
Adalberto Mondesi,KCR,15,54,7,0,0,0,3,3,4,0,20,0,9,88,1,5,13769,4.40
Carson Kelly,ARI,30,98,8,2,0,1,7,6,5,0,25,1,33,87.1,3,0,13620,2.73
Jason Castro,HOU,33,84,5,2,0,0,5,1,8,0,39,1,12,89,1,1,8722,1.82
Jonathan Arauz,- - -,8,20,1,0,0,1,2,3,0,0,5,0,6,86.6,1,0,20275,2.88
Kevin Pillar,LAD,4,13,0,1,0,0,1,0,1,0,4,0,3,88.2,1,0,12434,2.25
Jose Rojas,LAA,7,23,1,2,0,0,1,1,0,0,8,0,8,92.8,1,0,19331,2.43
Niko Goodrum,HOU,15,45,3,2,0,0,2,1,2,0,23,0,6,81.9,1,1,12092,2.27
Billy McKinney,OAK,23,57,3,1,0,1,3,4,4,1,16,0,16,83.8,2,0,15654,2.09
Austin Allen,OAK,5,16,1,0,0,0,1,0,1,0,9,1,3,92.7,0,0,18083,1.80
Steven Souza Jr.,SEA,6,19,3,0,0,0,0,1,0,0,8,0,5,83.3,0,0,5667,1.83
Eddie Rosario,ATL,15,49,2,1,0,0,4,0,5,0,10,0,12,85.9,0,0,12155,1.93
Eddy Alvarez,LAD,12,22,3,0,0,0,1,1,0,0,7,0,4,89.8,0,1,16959,1.50
Lewin Diaz,MIA,3,10,0,1,0,0,1,0,0,0,5,0,4,94,1,0,18365,2.33
Yonny Hernandez,ARI,12,28,2,0,0,0,2,0,2,0,4,0,1,82.3,0,2,19432,2.00
Mark Kolozsvary,CIN,6,11,0,1,0,0,0,1,0,0,5,0,0,90.7,0,0,21304,1.17
Bobby Bradley,CLE,8,17,2,0,0,0,1,0,0,0,9,0,2,87.5,0,0,17278,1.00
Lucius Fox,WSN,10,28,2,0,0,0,2,2,1,0,9,0,3,81.8,1,1,18899,2.10
Christian Lopes,OAK,4,10,0,0,0,0,0,0,1,0,5,0,1,91.1,0,0,13472,0.50
Michael Papierski,SFG,5,10,0,0,0,0,1,0,1,0,4,0,1,72.2,0,0,21386,0.80
Luis Campusano,SDP,4,13,1,0,0,0,1,1,0,0,2,0,5,85.6,1,0,22217,1.75
Estevan Florial,NYY,4,12,0,0,0,0,0,0,1,0,4,0,1,86.3,1,1,19151,1.75
Travis Shaw,BOS,7,19,0,0,0,0,0,0,0,0,7,0,7,79.3,0,0,11982,0.00
Aaron Whitefield,LAA,5,11,0,0,0,0,0,0,0,0,5,0,0,95.3,1,0,19938,0.00
Stuart Fairchild,- - -,8,11,0,0,0,0,1,0,0,0,5,0,3,84.5,0,0,20321,0.25
