Name,Team,G,PA,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,FB,EV,Barrels,SB,playerid,DK Average
Michael Chavis,PIT,62,214,32,7,2,8,22,25,12,1,58,2,60,85.3,13,1,17321,5.74
Lane Thomas,WSN,65,227,29,10,1,8,27,30,19,0,57,1,60,88.1,11,1,16939,5.91
Jonathan Davis,MIL,5,21,5,0,0,0,1,1,3,0,6,0,1,83.7,0,1,15104,6.00
Trevor Larnach,MIN,51,180,19,13,0,5,22,18,18,1,57,0,41,90.1,12,0,21501,5.69
Brandon Lowe,TBR,32,133,13,5,2,5,20,12,12,0,34,2,36,89.8,9,1,18882,7.09
Wander Franco,TBR,46,195,32,11,2,4,27,19,10,1,21,0,45,88.5,8,4,23667,7.41
Ezequiel Duran,TEX,16,64,10,3,1,2,9,8,2,0,17,0,10,87.7,1,2,23733,7.56
Randy Arozarena,TBR,70,292,44,16,2,7,32,32,14,2,73,6,56,90.1,13,13,19290,7.64
Nick Allen,OAK,15,44,4,3,0,1,5,5,5,0,8,1,13,81.3,0,1,22277,4.93
Austin Wynns,SFG,13,36,5,2,0,1,4,5,3,0,7,0,9,79.9,1,0,15271,4.54
Albert Almora Jr.,CIN,38,136,24,5,1,5,16,24,3,0,23,0,30,84.5,3,2,14109,6.61
Austin Meadows,DET,36,147,24,6,2,0,9,11,16,0,17,3,49,88.2,7,0,15672,5.44
Miguel Cabrera,DET,62,242,57,7,0,3,16,23,12,2,64,2,38,90.1,10,0,1744,5.58
Owen Miller,CLE,61,246,33,19,0,4,33,33,19,1,49,2,62,87.8,6,1,24655,6.80
J.D. Davis,NYM,50,167,25,7,1,2,21,14,17,0,51,4,25,93.7,11,1,16219,5.10
Yadiel Hernandez,WSN,55,201,36,10,0,4,18,26,13,0,46,0,36,88.8,12,2,19334,5.85
Brendan Rodgers,COL,62,267,38,16,2,6,35,32,16,0,49,2,66,89.6,18,0,17907,7.10
Ramon Laureano,OAK,43,171,23,11,0,2,18,8,15,0,34,5,36,89.3,9,6,17128,6.19
Clint Frazier,CHC,19,45,5,3,0,0,4,1,7,0,11,1,8,85.9,1,1,15983,3.21
Adley Rutschman,BAL,29,116,10,11,1,2,14,7,8,0,22,2,31,91.3,6,0,26288,6.03
Franchy Cordero,BOS,46,155,17,10,1,3,22,20,16,0,42,1,35,91.3,11,1,14567,5.70
Gio Urshela,MIN,67,253,40,11,1,6,27,30,20,0,41,0,70,89.1,15,0,10681,5.93
Nick Castellanos,PHI,73,307,47,17,0,7,30,37,21,0,71,2,77,87.9,17,3,11737,6.73
Kole Calhoun,TEX,65,239,32,12,1,8,24,29,13,0,61,3,63,91,20,1,11200,5.95
Matt Reynolds,- - -,48,151,25,5,1,3,19,14,14,0,37,0,29,91.5,4,4,13788,5.25
Gary Sanchez,MIN,57,227,20,17,0,8,23,30,15,0,64,4,71,90.7,25,1,11442,6.56
Jesus Sanchez,MIA,60,221,26,7,3,10,28,27,12,0,64,2,51,88.9,16,1,19913,6.33
J.T. Realmuto,PHI,65,266,38,11,2,5,35,28,21,0,57,7,67,87.7,11,9,11739,7.11
Kris Bryant,COL,17,73,13,4,0,0,11,4,7,0,15,1,15,83.5,2,0,15429,6.18
Sean Murphy,OAK,66,267,28,16,1,8,25,30,21,1,66,5,73,88.4,18,0,19352,6.30
Josh Rojas,ARI,43,177,29,5,1,4,23,18,16,1,37,1,48,86.8,3,5,19734,7.05
Didi Gregorius,PHI,37,139,23,8,2,0,12,12,9,0,22,3,35,84.4,3,0,6012,5.32
Nick Ahmed,ARI,17,54,7,2,0,3,7,7,2,0,15,0,11,86.9,2,0,12147,5.47
Andrew McCutchen,MIL,60,260,43,9,0,6,28,30,21,0,51,3,65,88.3,14,5,9847,7.05
Tommy La Stella,SFG,28,100,14,8,0,2,10,11,4,0,15,1,29,90.6,3,0,12371,5.50
Marcell Ozuna,ATL,70,297,39,9,0,14,35,32,19,0,68,2,90,89.5,29,2,10324,6.97
Ozzie Albies,ATL,62,263,36,15,0,8,34,33,15,0,46,2,88,87.1,11,3,16556,7.19
Cedric Mullins II,BAL,72,318,51,16,1,6,37,28,18,1,59,5,103,89,14,16,17929,7.76
Mitch Haniger,SEA,9,36,3,1,0,3,3,7,1,0,9,0,13,93.3,5,0,14274,7.33
Chas McCormick,HOU,49,172,20,7,1,6,17,16,15,0,42,1,44,87.9,12,1,19599,5.43
Kevin Newman,PIT,14,52,7,4,1,0,4,8,4,0,7,0,18,84.8,0,1,17696,6.14
Jake McCarthy,ARI,31,86,11,3,1,3,16,9,5,0,30,1,17,90.6,5,1,21622,4.94
Jo Adell,LAA,25,87,13,5,0,3,5,10,3,0,30,0,17,90.1,7,1,20220,5.40
Amed Rosario,CLE,62,269,53,10,5,2,35,19,12,0,39,1,56,88.6,8,8,15518,7.15
Sam Huff,TEX,27,75,17,2,0,1,4,5,4,0,21,0,10,86,2,1,22209,3.78
Dylan Moore,SEA,50,120,10,1,2,3,18,10,16,1,31,7,32,87.5,8,10,18042,4.70
Luis Urias,MIL,47,194,26,4,0,6,23,18,22,0,45,3,48,86.8,9,1,16622,6.28
Stephen Piscotty,OAK,14,47,7,1,0,1,4,3,6,1,12,1,5,92.5,1,2,13367,5.43
Keibert Ruiz,WSN,56,229,37,14,0,2,18,15,17,0,23,2,61,87.7,6,3,19610,5.71
Richie Palacios,CLE,29,70,14,5,0,0,3,10,3,0,11,0,16,85.4,1,1,24589,3.59
Harrison Bader,STL,72,264,48,7,3,5,35,21,13,0,47,4,88,83.5,8,15,18030,6.58
Max Stassi,LAA,46,171,23,6,0,4,14,14,21,0,49,0,28,89.5,11,0,10059,5.15
Odubel Herrera,PHI,48,157,20,9,1,5,18,17,8,0,31,0,36,87.1,7,4,11476,5.60
Alex Verdugo,BOS,67,282,45,16,0,5,31,39,19,2,30,1,78,89.2,16,0,17027,6.70
Marwin Gonzalez,NYY,40,92,12,6,0,2,10,7,6,0,24,1,22,90.5,3,0,5497,3.35
Daz Cameron,DET,18,61,8,3,1,1,5,8,4,0,18,1,19,90.7,4,2,18353,5.72
Ha-seong Kim,SDP,67,263,34,12,2,4,27,26,25,0,51,5,73,83.7,10,4,27506,6.03
Christian Bethancourt,OAK,49,158,21,11,0,4,21,18,7,0,37,1,37,92.2,17,4,10028,5.55
Brandon Crawford,SFG,63,243,33,8,2,5,26,30,21,2,50,7,64,86.9,14,1,5343,6.06
Matt Vierling,PHI,38,101,16,3,0,3,13,7,7,0,20,1,31,92.1,6,2,21558,4.18
Randal Grichuk,COL,61,234,41,6,0,7,25,34,12,0,64,3,48,88.3,6,2,10243,6.25
Mike Moustakas,CIN,50,190,25,8,0,3,22,15,20,0,37,5,62,87.4,6,2,4892,5.58
Mitch Garver,TEX,43,171,17,6,0,7,16,16,18,0,44,1,54,88.7,7,1,15161,6.00
Mike Ford,- - -,18,43,5,1,0,0,1,5,9,0,12,1,8,92.5,1,0,15585,2.89
Salvador Perez,KCR,57,236,22,13,1,11,25,34,9,1,65,4,78,91.4,17,0,7304,6.93
Colin Moran,CIN,37,117,14,3,0,4,8,22,14,0,27,0,24,90,6,0,16909,5.00
Cody Bellinger,LAD,66,270,29,13,2,9,32,28,20,0,81,1,77,90,14,9,15998,7.05
Aaron Hicks,NYY,63,225,36,2,1,3,24,18,31,2,51,3,54,87.7,4,7,5297,5.51
Frank Schwindel,CHC,62,245,36,10,0,8,21,33,15,1,49,0,66,87.9,10,0,15351,6.10
Ryan Jeffers,MIN,49,176,17,9,0,5,19,20,20,0,51,0,51,88.6,18,0,24618,5.39
Luis Rengifo,LAA,41,147,22,5,2,3,13,9,8,0,24,2,38,86.8,5,1,19858,5.02
Dee Strange-Gordon,WSN,23,59,16,1,1,0,6,2,0,0,8,0,10,84.4,0,3,8203,4.00
Eduardo Escobar,NYM,68,286,33,16,3,6,30,30,23,0,73,0,87,88,12,0,6153,6.31
A.J. Pollock,CHW,55,212,32,12,1,4,27,23,10,0,42,1,61,88.5,16,1,9256,6.02
Jose Azocar,SDP,57,112,19,4,3,0,11,7,8,0,28,0,23,88.3,2,3,18821,2.95
Cesar Hernandez,WSN,74,329,62,16,2,0,40,18,20,0,59,3,66,85,8,3,10556,6.20
Gavin Sheets,CHW,48,164,22,6,0,5,11,12,12,0,36,2,54,88,9,0,19901,4.58
Ramon Urias,BAL,49,188,23,10,0,6,22,18,11,0,48,1,36,91.3,12,0,18795,5.78
Pavin Smith,ARI,64,240,29,6,0,9,20,31,24,1,63,1,68,88.9,18,1,19892,5.72
Cooper Hummel,ARI,41,120,10,4,2,2,10,9,19,0,38,0,19,87.4,5,2,19458,4.20
Max Muncy,LAD,56,230,19,5,1,5,26,20,44,1,49,1,67,87.8,15,0,13301,5.79
