rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
58,Mookie Betts,LAD,91,426,371,98,17,42.9%,13.2%,.264,.466,.202,11.0%,17.1%
59,Carlos Correa,- - -,104,452,403,115,15,33.6%,14.0%,.285,.459,.174,10.0%,19.5%
60,Nelson Cruz,- - -,103,439,389,105,23,35.3%,22.5%,.270,.494,.224,8.9%,23.7%
61,Luke Voit,- - -,71,276,240,63,10,33.6%,19.6%,.263,.446,.183,11.2%,31.9%
62,Taylor Ward,LAA,62,253,220,60,7,37.1%,11.9%,.273,.432,.159,10.7%,22.9%
63,Mitch Haniger,SEA,86,387,342,88,23,39.5%,22.3%,.257,.503,.246,8.8%,22.5%
64,Josh Bell,WSN,110,468,412,111,19,29.1%,19.2%,.269,.464,.194,10.9%,15.8%
65,Willson Contreras,CHC,93,367,311,80,12,33.0%,15.8%,.257,.434,.177,11.2%,22.6%
66,Rhys Hoskins,PHI,92,398,348,82,24,47.0%,20.5%,.236,.494,.259,11.3%,25.4%
67,Mark Canha,- - -,103,452,384,100,13,37.3%,11.5%,.260,.419,.159,11.9%,17.9%
68,Manny Machado,SDP,119,508,456,131,17,40.8%,11.0%,.287,.487,.200,8.9%,16.9%
69,Lane Thomas,- - -,71,268,233,59,9,38.2%,13.6%,.253,.481,.227,11.6%,23.5%
70,Wander Franco,TBR,59,262,246,76,7,30.2%,10.3%,.309,.459,.150,5.7%,8.0%
71,Brandon Crawford,SFG,99,398,353,96,16,43.7%,13.1%,.272,.476,.204,8.8%,19.3%
72,Julio Rodriguez,SEA,40,163,146,39,7,33.7%,20.6%,.267,.452,.185,8.0%,27.6%
73,Yasmani Grandal,CHW,68,277,216,49,11,41.7%,16.2%,.227,.412,.185,19.9%,20.9%
74,Joc Pederson,- - -,102,356,322,80,22,41.1%,21.6%,.248,.509,.261,6.7%,21.6%
75,Freddy Galvis,- - -,53,207,185,49,10,42.0%,16.7%,.265,.486,.222,7.2%,19.8%
76,Eddie Rosario,- - -,62,237,212,60,8,36.6%,11.9%,.283,.462,.179,8.4%,12.7%
77,Jared Walsh,LAA,104,425,380,98,20,33.8%,22.0%,.258,.482,.224,8.9%,26.6%
78,Jordan Luplow,- - -,58,193,163,35,11,51.4%,20.0%,.215,.460,.245,13.5%,29.0%
79,Thairo Estrada,SFG,56,198,177,49,7,26.2%,18.9%,.277,.446,.169,8.1%,17.2%
80,Corey Seager,- - -,89,399,345,93,12,34.6%,12.2%,.270,.438,.168,11.0%,16.5%
81,Evan Longoria,SFG,65,243,213,54,11,39.5%,19.0%,.254,.469,.216,11.1%,28.0%
82,Ty France,SEA,115,509,454,127,16,30.7%,13.9%,.280,.436,.156,5.3%,16.1%
83,Xander Bogaerts,BOS,115,490,427,121,9,33.2%,8.1%,.283,.419,.136,11.4%,19.8%
84,Lars Nootbaar,STL,44,101,87,20,6,39.3%,27.3%,.230,.506,.276,10.9%,29.7%
85,Tim Anderson,CHW,81,368,350,108,11,23.2%,17.5%,.309,.451,.143,4.1%,21.5%
86,A.J. Pollock,- - -,87,341,317,90,12,37.9%,13.0%,.284,.476,.192,5.0%,22.3%
87,Kris Bryant,- - -,75,304,274,71,14,38.7%,18.2%,.259,.474,.215,7.2%,25.3%
88,Eloy Jimenez,CHW,35,144,134,36,8,28.2%,27.6%,.269,.493,.224,5.6%,22.2%
89,Yuli Gurriel,HOU,113,482,434,128,12,40.9%,7.7%,.295,.442,.147,7.7%,12.7%
90,Adam Duvall,- - -,112,440,398,95,27,51.5%,19.1%,.239,.503,.264,8.0%,28.9%
91,Christian Arroyo,BOS,49,149,134,37,6,32.7%,16.2%,.276,.463,.187,5.4%,14.8%
92,Josh Naylor,CLE,64,253,239,65,12,38.3%,16.2%,.272,.498,.226,4.7%,18.6%
93,Omar Narvaez,MIL,89,341,298,83,9,38.8%,9.8%,.279,.423,.144,10.6%,18.8%
94,Gilberto Celestino,MIN,36,111,98,28,2,22.7%,11.8%,.286,.398,.112,9.0%,20.7%
95,Jesus Aguilar,MIA,99,407,365,90,24,50.2%,16.9%,.247,.482,.236,9.1%,20.9%
96,Joey Votto,CIN,90,374,319,72,18,40.8%,20.2%,.226,.458,.232,12.6%,27.8%
97,Kolten Wong,MIL,96,400,357,96,9,32.6%,9.6%,.269,.431,.162,7.8%,16.0%
98,Travis d'Arnaud,ATL,59,241,225,55,15,39.3%,21.4%,.244,.502,.258,5.0%,19.9%
99,Cedric Mullins II,BAL,119,524,472,136,9,39.6%,6.1%,.288,.415,.127,7.6%,17.2%
100,Lourdes Gurriel Jr.,TOR,105,409,369,102,13,36.2%,12.3%,.276,.450,.173,7.1%,19.6%
101,Danny Jansen,TOR,43,143,125,26,10,50.0%,20.8%,.208,.496,.288,9.1%,21.0%
102,Justin Turner,LAD,113,489,423,113,14,38.0%,10.5%,.267,.421,.154,10.4%,16.6%
103,Brendan Rodgers,COL,78,321,302,82,12,31.4%,15.8%,.272,.467,.195,5.0%,18.7%
104,Garrett Cooper,MIA,79,305,272,76,5,24.9%,10.2%,.279,.408,.129,8.2%,25.2%
105,Luis Urias,MIL,104,421,374,91,19,37.9%,17.6%,.243,.455,.211,8.8%,21.6%
106,Ramon Urias,BAL,64,237,216,61,5,23.5%,13.2%,.282,.412,.130,8.4%,22.8%
107,Ji-Man Choi,TBR,67,251,216,51,9,36.1%,17.3%,.236,.426,.190,13.5%,28.7%
108,Josh Harrison,- - -,92,375,333,93,5,36.8%,4.9%,.279,.396,.117,5.9%,14.4%
109,Javier Baez,- - -,99,413,383,100,17,33.3%,20.5%,.261,.465,.204,4.8%,32.9%
110,Gavin Lux,LAD,89,347,308,90,4,29.2%,5.5%,.292,.390,.097,10.1%,17.6%
111,Jake Cronenworth,SDP,116,508,446,117,12,40.4%,8.1%,.262,.430,.168,8.1%,16.1%
112,Tommy Pham,- - -,112,423,370,94,15,32.9%,15.8%,.254,.419,.165,11.6%,19.9%
113,DJ LeMahieu,NYY,108,490,429,119,8,27.8%,7.8%,.277,.392,.114,11.0%,13.3%
114,Starling Marte,- - -,96,428,382,105,8,25.4%,10.7%,.275,.401,.126,7.7%,20.3%
115,Christian Walker,ARI,98,388,346,83,18,42.7%,16.2%,.240,.442,.202,9.5%,22.4%
116,Sean Murphy,OAK,99,399,360,89,16,39.2%,15.2%,.247,.458,.211,6.3%,23.8%
117,Mitch Garver,- - -,61,228,200,43,14,46.8%,23.7%,.215,.460,.245,11.4%,32.9%
118,Corey Dickerson,- - -,70,225,201,54,6,31.3%,13.3%,.269,.408,.139,9.8%,25.3%
119,Manny Pina,- - -,39,113,103,22,9,51.2%,20.5%,.214,.515,.301,6.2%,15.9%
120,Taylor Trammell,SEA,42,153,132,29,6,35.8%,20.7%,.220,.447,.227,10.5%,34.0%
121,Mike Yastrzemski,SFG,101,404,357,81,21,48.5%,16.3%,.227,.473,.246,9.2%,22.5%
122,Michael Conforto,NYM,60,241,206,48,8,35.2%,14.0%,.233,.408,.175,12.9%,18.3%
123,Tony Kemp,OAK,97,362,309,81,8,38.0%,8.2%,.262,.392,.129,10.8%,13.3%
124,Josh Rojas,ARI,91,362,321,85,9,31.6%,12.2%,.265,.424,.159,9.4%,24.9%
125,Alex Bregman,HOU,85,374,315,79,11,48.5%,8.5%,.251,.390,.140,13.1%,14.4%
126,Jose Altuve,HOU,105,492,438,108,20,38.7%,14.5%,.247,.429,.183,9.3%,15.4%
