playerId,Name,Tm,IP,TBF,FIP,HR,WHIP,FB%,HardHit%,K%
15538,Eric Yardley,MIL,15,73,4.718099803,1,2,0.28301887,0.32075472,0.1369863
15541,Tyler Rogers,SFG,62,255,3.762288704,3,1.06451613,0.21428571,0.16080402,0.13333333
15551,Mark Leiter Jr.,CHC,15.1,58,3.972944536,2,0.91304348,0.31578947,0.38461538,0.24137931
15552,Chad Green,NYY,51.1,202,3.677443637,8,0.93506493,0.56349206,0.30708661,0.2970297
15594,Nick Wittgren,2 Tms,47,213,4.760393035,7,1.5106383,0.28187919,0.37333333,0.19248826
15605,Phillips Valdez,BOS,32.1,143,3.417058884,1,1.42268041,0.29347826,0.23655914,0.21678322
15684,Miguel Castro,3 Tms,51.1,220,3.788868748,4,1.32467532,0.33333333,0.24444444,0.25
15689,Luis Castillo,CIN,151.2,678,3.938453584,14,1.47032967,0.29761905,0.32009346,0.24041298
15690,Jimmy Cordero,CHW,11,61,5.827783432,2,2.63636364,0.37777778,0.2,0.14754098
15734,Brad Keller,KCR,135.1,600,4.604635343,18,1.49261084,0.26328502,0.30861244,0.195
15761,Joe Jimenez,DET,37,172,4.946263822,6,1.62162162,0.52525253,0.37623762,0.26162791
15764,Masahiro Tanaka,NYY,26.2,101,4.878919792,6,0.825,0.50704225,0.26388889,0.23762376
15816,Devin Williams,MIL,55.1,227,3.385225768,5,1.13855422,0.38738739,0.23214286,0.34801762
15823,Zack Littell,2 Tms,33.2,138,4.350465482,4,1.27722772,0.31868132,0.27173913,0.2173913
15832,Paul Fry,2 Tms,32.1,150,4.718093262,5,1.60824742,0.37349398,0.23529412,0.28
15846,Adam Plutko,2 Tms,31.1,143,5.221005076,6,1.5,0.48571429,0.33018868,0.17482517
15855,Wander Suero,WSN,31.1,137,4.774196566,5,1.40425532,0.36046512,0.28735632,0.24087591
15873,Sean Manaea,2 Tms,81.2,317,3.822650417,13,0.95510204,0.34653465,0.32850242,0.2807571
15890,Luis Severino,NYY,30,123,5.426116572,7,1.13333333,0.47191011,0.31521739,0.18699187
15947,Ryne Stanek,2 Tms,36,165,5.491682938,7,1.55555556,0.59793814,0.25252525,0.24848485
16058,Stefan Crichton,ARI,14.1,75,6.252235091,1,2.02325581,0.45833333,0.39583333,0.13333333
16094,Zach Thompson,2 Tms,61.1,270,4.519826681,7,1.40217391,0.38918919,0.28571429,0.18518519
16110,Daniel Ponce de Leon,STL,32,146,6.056618027,7,1.5,0.50574713,0.29213483,0.23287671
16122,Jordan Romano,TOR,46.2,173,1.554702122,3,0.72857143,0.44705882,0.24418605,0.43352601
16125,Chris Ellis,2 Tms,12.1,52,6.246259454,2,1.37837838,0.46875,0.27272727,0.17307692
16128,John Curtiss,3 Tms,29.1,116,2.427567711,2,0.95454545,0.29268293,0.37804878,0.25862069
16130,David Hess,3 Tms,13.1,68,9.47538054,6,2.25,0.49019608,0.45098039,0.13235294
16137,Carlos Rodon,2 Tms,42.2,178,1.841024895,1,1.1015625,0.41176471,0.21904762,0.32022472
16149,Aaron Nola,PHI,169.2,688,3.043616861,19,1.03143418,0.39099526,0.33021077,0.30523256
16162,Brandon Woodruff,MIL,157.1,620,2.947883833,18,0.93432203,0.37027027,0.28306878,0.32096774
16207,Spencer Turnbull,DET,57,242,3.445198002,2,1.1754386,0.28481013,0.27439024,0.20247934
16233,Tejay Antone,CIN,34.2,140,4.39267668,5,1.125,0.27160494,0.24691358,0.28571429
16256,Kyle Freeland,COL,65.1,296,5.091380903,12,1.53061224,0.29383886,0.27314815,0.18243243
16258,Aaron Bummer,CHW,31,118,1.129933347,0,0.87096774,0.15625,0.171875,0.38135593
16265,Sam Howard,PIT,30.1,132,4.29436766,3,1.38461538,0.33802817,0.26388889,0.28030303
16269,John Means,BAL,46,181,3.521005783,6,1.06521739,0.448,0.288,0.25414365
16279,Sam Clay,WSN,23,104,4.210257623,2,1.34782609,0.17647059,0.26470588,0.21153846
