playerid,Name,Team, PA , HR , ISO , K% , FB% , Hard% , EV , LA , Barrel% , Hard%(FB) , vL-PA(2y) , vL-HR(2y) , vL-ISO(2y) , vL-K%(2y) , vL-FB%(2y) , vL-Hard%(2y) , vR-PA(2y) , vR-HR(2y) , vR-ISO(2y) , vR-K%(2y) , vR-FB%(2y) , vR-Hard%(2y) 
14854,Mike Yastrzemski,SFG,251,8,0.189,0.227,0.41,0.358,90.8,18.7,0.113,0.3438,264,10,0.184,0.2689,0.4172,0.2788,744,33,0.248,0.231,0.4549,0.3496
20970,Oscar Gonzalez,CLE,116,2,0.147,0.207,0.221,0.419,90.7,3.1,0.058,0.3684,41,1,0.132,0.2439,0.1429,0.4643,75,1,0.155,0.187,0.2586,0.3966
17678,Alex Bregman,HOU,296,9,0.172,0.132,0.481,0.322,89.8,20,0.072,0.33,298,7,0.15,0.1242,0.4312,0.2844,578,20,0.181,0.14,0.4341,0.3501
18400,Juan Yepez,STL,167,7,0.191,0.216,0.471,0.294,87.5,19.3,0.084,0.3393,33, -   ,0.036,0.1818,0.6087,0.1739,134,7,0.226,0.224,0.4375,0.3229
9368,Evan Longoria,SFG,126,7,0.234,0.262,0.443,0.316,91.9,18.5,0.139,0.4286,187,12,0.262,0.1925,0.3923,0.3923,439,15,0.183,0.237,0.372,0.3925
23697,Julio Rodriguez,SEA,301,11,0.178,0.286,0.317,0.323,91.2,8.5,0.116,0.3667,73,3,0.185,0.2877,0.4091,0.3182,228,8,0.176,0.285,0.2897,0.3241
12180,Jorge Alfaro,SDP,150,6,0.2,0.327,0.323,0.355,91.1,10.9,0.129,0.5333,151,8,0.226,0.3444,0.2553,0.4149,410,5,0.092,0.322,0.2659,0.3611
9433,Dustin Garneau,DET,11, -   ,0.1,0.364,0.833,0.167,89.5,40.6,0.167,0.2,44,2,0.211,0.3409,0.4167,0.25,81,5,0.292,0.272,0.549,0.3208
14553,Nomar Mazara,SDP,70,1,0.109,0.2,0.36,0.18,86.5,16,0.04,0.2222,56, -   ,0.058,0.3571,0.2813,0.3125,344,5,0.099,0.241,0.3074,0.2814
18316,Edwin Rios,LAD,92,7,0.256,0.391,0.34,0.32,88.5,10.9,0.14,0.6471,44,5,0.39,0.25,0.6452,0.5484,191,11,0.227,0.319,0.3694,0.3604
13613,Ketel Marte,ARI,267,4,0.157,0.18,0.364,0.316,90.5,12,0.043,0.2794,231,9,0.26,0.1126,0.3545,0.4497,604,11,0.14,0.171,0.3288,0.3145
13602,Patrick Wisdom,CHC,278,14,0.232,0.342,0.474,0.395,92.5,19.6,0.164,0.4444,194,12,0.263,0.3918,0.4632,0.4,461,30,0.263,0.373,0.4959,0.4344
15464,Hunter Renfroe,MIL,217,13,0.242,0.249,0.469,0.354,89.7,15.7,0.136,0.3768,318,21,0.276,0.2233,0.4663,0.3702,610,31,0.224,0.246,0.4384,0.3507
14387,Harold Ramirez,TBR,187,3,0.107,0.118,0.26,0.287,88.9,5.2,0.067,0.3846,194,3,0.134,0.1392,0.2303,0.3487,365,7,0.112,0.145,0.3151,0.3185
16997,Gleyber Torres,NYY,249,13,0.237,0.189,0.522,0.359,91.9,20.4,0.109,0.3789,273,14,0.221,0.1795,0.4643,0.3116,652,11,0.114,0.199,0.3885,0.2863
16451,Luis Guillorme,NYM,170,1,0.06,0.129,0.202,0.277,87.1,5.7,0.031,0.44,96, -   ,0.012,0.1563,0.2239,0.2254,298,2,0.079,0.158,0.233,0.3048
13419,Christian Walker,ARI,293,19,0.273,0.195,0.495,0.379,90.4,18,0.157,0.449,274,6,0.16,0.1642,0.4096,0.3777,707,30,0.2,0.238,0.4059,0.3891
19566,Nathaniel Lowe,TEX,264,10,0.17,0.246,0.297,0.28,90,8.7,0.082,0.3148,294,8,0.155,0.2789,0.1967,0.3169,688,24,0.163,0.251,0.3142,0.3326
16725,Jose Trevino,NYY,133,6,0.18,0.135,0.381,0.238,87.6,10.9,0.057,0.275,158,3,0.13,0.1392,0.3306,0.2698,360,10,0.136,0.189,0.3382,0.308
9874,DJ LeMahieu,NYY,270,7,0.145,0.13,0.296,0.234,88.9,3.6,0.065,0.3729,339,5,0.103,0.1003,0.2761,0.3209,826,22,0.142,0.14,0.2476,0.263
11445,Mark Canha,NYM,242,6,0.109,0.19,0.325,0.265,87.4,9.7,0.036,0.2222,351,10,0.167,0.1909,0.382,0.3433,759,18,0.137,0.212,0.3611,0.3013
10323,Rafael Ortega,CHC,199,4,0.129,0.211,0.438,0.242,87,17.7,0.045,0.2281,76, -   , -   ,0.2763,0.375,0.119,453,15,0.18,0.201,0.4281,0.283
16930,Jonah Heim,TEX,189,10,0.228,0.201,0.485,0.326,89.7,17.5,0.081,0.3231,140,8,0.262,0.1929,0.3762,0.402,375,12,0.141,0.192,0.464,0.3226
14813,Kyle Farmer,CIN,246,5,0.141,0.138,0.275,0.316,85.8,10.9,0.053,0.3077,217,12,0.246,0.1382,0.3706,0.4529,628,9,0.104,0.182,0.3145,0.3089
18373,Ryan Mountcastle,BAL,263,12,0.202,0.255,0.346,0.383,93,14.8,0.159,0.4444,308,15,0.221,0.25,0.378,0.3684,681,35,0.211,0.266,0.4035,0.3451
10815,Jurickson Profar,SDP,323,8,0.162,0.155,0.336,0.261,87.9,13.2,0.048,0.3117,269,6,0.122,0.145,0.2886,0.2338,668,13,0.132,0.156,0.3652,0.2653
30116,Seiya Suzuki,CHC,163,4,0.187,0.301,0.511,0.293,90.4,16.9,0.13,0.2979,49,2,0.262,0.1837,0.4242,0.3333,114,2,0.155,0.351,0.5593,0.2712
12552,Eugenio Suarez,SEA,312,13,0.202,0.324,0.428,0.335,88.2,17.9,0.145,0.4189,288,12,0.207,0.3194,0.4359,0.3974,829,47,0.237,0.298,0.4631,0.3258
17901,Andrew Benintendi,KCR,296,3,0.091,0.142,0.347,0.308,89.5,11.3,0.054,0.3766,260,4,0.111,0.1654,0.3229,0.3247,626,16,0.144,0.181,0.4102,0.3355
13359,Tyler Naquin,CIN,150,5,0.204,0.247,0.392,0.307,89.9,15.4,0.099,0.4474,128,2,0.07,0.2578,0.3012,0.2024,617,26,0.224,0.243,0.3479,0.3833
19326,Bryan Reynolds,PIT,291,12,0.192,0.237,0.311,0.254,88.1,9.9,0.057,0.4333,329,7,0.161,0.234,0.2673,0.3318,816,36,0.221,0.206,0.3718,0.3254
18126,LaMonte Wade Jr.,SFG,32,1,0.12,0.156,0.286,0.286,94.4,7.1,0.048,0.3333,50, -   ,0.045,0.3,0.3333,0.1563,407,19,0.228,0.216,0.4444,0.3883
14551,Anthony Santander,BAL,281,13,0.185,0.21,0.468,0.317,89.8,20.2,0.091,0.3218,276,10,0.176,0.279,0.3944,0.3444,608,32,0.23,0.178,0.4819,0.3491
15697,Gosuke Katoh,TOR,11, -   ,0.143,0.091,0.333, -   ,83.3,25.6, -   , -   ,2, -   , -   , -   ,1, -   ,9, -   ,0.167,0.111,0.2, -   
18607,Jared Walsh,LAA,278,13,0.211,0.295,0.358,0.397,91.4,10.4,0.112,0.4375,301,13,0.171,0.2591,0.2844,0.3602,670,38,0.272,0.255,0.344,0.3876
13757,Chris Taylor,LAD,262,6,0.185,0.347,0.397,0.35,88.3,19.4,0.119,0.3571,304,10,0.206,0.2961,0.3815,0.3559,754,24,0.181,0.296,0.3825,0.3243
13853,Joey Wendle,MIA,97,2,0.136,0.113,0.269,0.218,87.3,1.1,0.013,0.3333,190,2,0.096,0.2263,0.2602,0.232,592,15,0.169,0.196,0.2975,0.3204
9241,Starling Marte,NYM,276,7,0.16,0.185,0.298,0.209,85.7,7.8,0.058,0.2787,311,8,0.143,0.2026,0.289,0.2511,741,17,0.155,0.173,0.2561,0.3044
19287,Adolis Garcia,TEX,292,15,0.231,0.271,0.393,0.365,92.3,14.3,0.112,0.4416,298,14,0.198,0.3389,0.4121,0.3934,623,32,0.225,0.283,0.3966,0.3735
23792,Alek Thomas,ARI,165,6,0.167,0.182,0.264,0.281,87.7,2.2,0.074,0.4688,50,1,0.064,0.16,0.2308,0.0769,115,5,0.214,0.191,0.2805,0.378
18887,Seby Zavala,CHW,33,1,0.194,0.364,0.45,0.35,89.1,16.9,0.2,0.5556,36,1,0.167,0.4167,0.4,0.4667,101,5,0.202,0.376,0.4386,0.2459
12144,Max Kepler,MIN,256,7,0.157,0.148,0.357,0.346,89.9,12.2,0.082,0.3077,257,3,0.098,0.1829,0.4167,0.2556,685,32,0.227,0.18,0.4237,0.3814
7859,Charlie Blackmon,COL,290,12,0.197,0.169,0.353,0.268,85.8,12.7,0.064,0.3553,325,6,0.117,0.1538,0.3,0.2479,794,25,0.172,0.169,0.3414,0.3379
11489,Michael A. Taylor,KCR,191,5,0.131,0.225,0.448,0.328,87.6,14.6,0.078,0.3571,246,8,0.152,0.2764,0.3419,0.3208,572,14,0.121,0.255,0.385,0.3184
15986,Willy Adames,MIL,224,15,0.27,0.272,0.469,0.364,90.7,20.2,0.161,0.5075,278,13,0.234,0.3058,0.4663,0.4172,706,35,0.23,0.292,0.3811,0.3557
2967,Tommy Pham,CIN,271,10,0.167,0.244,0.394,0.418,93,11,0.094,0.4478,262,9,0.17,0.2252,0.3813,0.3625,695,19,0.144,0.233,0.3093,0.4108
15794,Yonathan Daza,COL,209, -   ,0.058,0.115,0.246,0.238,85.7,5.5,0.03,0.3902,184,1,0.094,0.1576,0.2394,0.2621,356,1,0.053,0.154,0.2444,0.2362
15491,J.P. Crawford,SEA,293,5,0.125,0.15,0.324,0.243,84,11.3,0.033,0.2174,424,8,0.112,0.184,0.3094,0.2251,788,8,0.101,0.151,0.3177,0.2517
16578,Yandy Diaz,TBR,256,3,0.079,0.109,0.267,0.353,91.7,5.5,0.032,0.32,333,8,0.147,0.1321,0.3115,0.3607,602,10,0.089,0.143,0.2547,0.3255
21897,Christopher Morel,CHC,171,5,0.178,0.298,0.272,0.356,89.5,7.3,0.125,0.3214,40,1,0.152,0.25,0.32,0.3846,131,4,0.185,0.313,0.2564,0.3462
19955,Gavin Lux,LAD,232,2,0.097,0.181,0.325,0.283,86.7,9.6,0.06,0.3704,159,1,0.057,0.2516,0.3069,0.2376,523,11,0.138,0.199,0.3306,0.3223
19238,Lourdes Gurriel Jr.,TOR,254,4,0.125,0.177,0.386,0.365,90.5,14.5,0.048,0.2877,270,8,0.17,0.2222,0.3112,0.3553,749,28,0.186,0.18,0.3638,0.322
19252,Cavan Biggio,TOR,110,2,0.159,0.291,0.4,0.351,88.7,18.1,0.123,0.4091,175,1,0.101,0.2971,0.3333,0.2841,494,16,0.174,0.241,0.4233,0.3246
12160,Ben Gamel,PIT,160,3,0.129,0.231,0.252,0.369,88.8,9,0.058,0.3462,165,1,0.096,0.2545,0.3529,0.2685,522,13,0.158,0.266,0.3301,0.3633
19470,Tommy Edman,STL,323,7,0.131,0.18,0.306,0.275,88.7,8.8,0.064,0.4225,268,9,0.198,0.1455,0.3488,0.3426,973,14,0.104,0.166,0.2958,0.271
22275,Jake Burger,CHW,182,8,0.21,0.308,0.42,0.336,90.8,12,0.15,0.4043,62,3,0.259,0.3226,0.5143,0.4,162,6,0.192,0.315,0.36,0.3267
24610,Steven Kwan,CLE,221,1,0.083,0.077,0.354,0.213,85,9.5,0.017,0.1905,50, -   , -   ,0.16,0.2432,0.1892,171,1,0.108,0.053,0.383,0.2199
2136,David Peralta,ARI,236,9,0.203,0.242,0.459,0.363,90.7,17.4,0.108,0.4167,177,2,0.099,0.2034,0.2778,0.2619,815,20,0.167,0.194,0.318,0.3503
9774,Christian Vazquez,BOS,205,4,0.144,0.161,0.285,0.241,88.2,9.6,0.07,0.3111,271,7,0.139,0.1956,0.4229,0.2338,621,10,0.115,0.172,0.3283,0.2511
22263,Nolan Gorman,STL,124,6,0.193,0.323,0.473,0.351,90,22.3,0.135,0.4,9, -   ,0.125,0.4444,0.5,0.25,115,6,0.198,0.313,0.4714,0.3571
12916,Francisco Lindor,NYM,323,12,0.18,0.195,0.396,0.296,88.8,14,0.071,0.3258,322,8,0.141,0.1304,0.4163,0.3065,791,32,0.189,0.2,0.3887,0.313
20003,Keston Hiura,MIL,119,6,0.188,0.462,0.326,0.326,93.1,17.2,0.152,0.4,178,4,0.082,0.4213,0.3571,0.2262,384,19,0.216,0.37,0.3886,0.3692
15117,Hunter Dozier,KCR,255,7,0.164,0.231,0.39,0.283,89.6,15.3,0.104,0.3731,262,4,0.133,0.2748,0.3871,0.3484,722,25,0.186,0.262,0.4185,0.3255
13152,Jorge Polanco,MIN,250,7,0.144,0.22,0.429,0.301,88.3,20.6,0.104,0.2609,349,11,0.165,0.1519,0.4412,0.3047,771,33,0.197,0.201,0.4275,0.3091
20043,Luis Robert,CHW,247,7,0.128,0.182,0.293,0.277,89.6,8.7,0.099,0.375,175,10,0.253,0.1943,0.3651,0.3492,595,21,0.17,0.244,0.3544,0.3034
18036,Jake Cronenworth,SDP,329,7,0.153,0.195,0.459,0.282,87.4,17.5,0.054,0.297,364,7,0.137,0.1923,0.3478,0.2964,800,25,0.203,0.143,0.3871,0.3069
10264,Brandon Belt,SFG,153,5,0.157,0.288,0.451,0.298,87.8,19.6,0.131,0.4054,144,6,0.172,0.2292,0.5,0.2976,569,37,0.303,0.264,0.4618,0.3929
25040,Vinny Capra,TOR,7, -   , -   ,0.143,0.25,0.5,87.4,-5.3, -   ,1,7, -   , -   ,0.1429,0.25,0.5, -   , -   , -   , -   , -   , -   
3516,Eric Hosmer,SDP,278,6,0.126,0.169,0.222,0.266,88.7,2.5,0.053,0.3478,288,7,0.129,0.1701,0.2601,0.3333,711,20,0.148,0.176,0.2617,0.3164
25764,Bobby Witt Jr.,KCR,287,11,0.223,0.24,0.465,0.359,91.3,17.1,0.101,0.2935,77,3,0.236,0.2597,0.5849,0.3208,210,8,0.219,0.233,0.4207,0.3724
22197,MJ Melendez,KCR,181,6,0.173,0.221,0.402,0.342,90.3,14.1,0.085,0.3404,50,2,0.273,0.12,0.3684,0.3947,131,4,0.134,0.26,0.4177,0.3165
14811,Luke Voit,SDP,233,9,0.197,0.343,0.344,0.392,89.5,14.1,0.152,0.4419,214,9,0.183,0.2897,0.379,0.3145,494,33,0.269,0.296,0.38,0.43
21534,Cal Raleigh,SEA,151,9,0.258,0.305,0.506,0.414,90.5,21.7,0.138,0.3636,77,2,0.167,0.2987,0.5227,0.2045,222,9,0.2,0.338,0.4656,0.3511
21479,Nico Hoerner,CHC,212,4,0.12,0.094,0.304,0.249,88.6,9.1,0.039,0.3273,154, -   ,0.071,0.1169,0.2683,0.2683,354,4,0.088,0.144,0.2921,0.2491
2434,Nelson Cruz,WSN,289,8,0.142,0.218,0.307,0.323,90.5,7.9,0.129,0.4746,340,19,0.235,0.1676,0.3208,0.3875,747,37,0.213,0.254,0.3663,0.3558
19181,Zack Collins,TOR,73,4,0.242,0.397,0.568,0.351,93.4,26.1,0.135,0.381,70,1,0.081,0.3857,0.4857,0.3611,252,7,0.172,0.302,0.4855,0.3669
22244,Jack Suwinski,PIT,190,12,0.246,0.316,0.396,0.342,88.5,10.9,0.135,0.5227,69,5,0.238,0.3043,0.3571,0.2619,121,7,0.25,0.322,0.4203,0.3913
12158,Austin Barnes,LAD,88,4,0.194,0.193,0.446,0.321,89.5,15.4,0.071,0.24,126,4,0.128,0.2381,0.3797,0.3625,291,7,0.129,0.23,0.4153,0.3011
14221,Jorge Soler,MIA,281,13,0.211,0.281,0.414,0.391,91.1,14,0.124,0.4286,255,18,0.288,0.2588,0.487,0.4286,802,30,0.186,0.268,0.3975,0.3685
5933,Jean Segura,PHI,179,6,0.132,0.145,0.298,0.305,89.8,7.7,0.057,0.3333,298,11,0.187,0.1409,0.3022,0.326,665,16,0.127,0.161,0.298,0.2843
22871,Tucupita Marcano,PIT,68,2,0.148,0.235,0.341,0.17,86.4,8.3,0.043,0.2667,33,1,0.107,0.1818,0.3182,0.2609,85,1,0.091,0.224,0.2807,0.1864
10231,Jose Iglesias,COL,230, -   ,0.07,0.104,0.268,0.2,84.5,7.3, -   ,0.0784,259,5,0.135,0.1197,0.2911,0.2629,632,7,0.111,0.134,0.3066,0.2324
18577,Ke'Bryan Hayes,PIT,272,3,0.115,0.224,0.317,0.361,91.8,7.2,0.066,0.3966,225,4,0.164,0.16,0.2791,0.4128,538,10,0.128,0.245,0.2833,0.3484
4314,Joey Votto,CIN,222,5,0.16,0.243,0.381,0.328,89.9,16.2,0.104,0.2745,294,8,0.15,0.2823,0.3394,0.4,684,44,0.29,0.206,0.4279,0.4027
15112,Ryan McMahon,COL,290,6,0.139,0.272,0.349,0.351,91.7,12.5,0.098,0.4333,312,9,0.147,0.2628,0.3333,0.2969,767,29,0.196,0.274,0.3755,0.4105
11477,Christian Yelich,MIL,314,7,0.132,0.242,0.284,0.362,91.3,6.1,0.106,0.4464,293,9,0.171,0.2696,0.2229,0.3314,743,19,0.142,0.25,0.2818,0.3799
22664,Gabriel Moreno,TOR,34, -   ,0.03,0.059,0.29,0.161,87.7,11.2, -   ,0.1111,11, -   , -   , -   ,0.2,0.1,23, -   ,0.043,0.087,0.3333,0.1905
13590,Jesse Winker,SEA,303,6,0.115,0.178,0.402,0.3,87.9,17.3,0.07,0.2875,243,8,0.159,0.2346,0.32,0.3907,728,34,0.235,0.162,0.3553,0.3573
13338,Omar Narvaez,MIL,160,2,0.119,0.213,0.426,0.248,84.6,16.9,0.037,0.2826,116,1,0.057,0.2586,0.4,0.2667,615,14,0.138,0.207,0.4072,0.2428
5827,Wilmer Flores,SFG,270,9,0.166,0.159,0.443,0.284,88.3,18.4,0.06,0.3034,292,15,0.221,0.1849,0.4167,0.2963,627,24,0.182,0.129,0.4298,0.3161
14691,Harold Castro,DET,165,4,0.153,0.182,0.299,0.262,88.5,9,0.077,0.4211,74, -   ,0.059,0.2162,0.2,0.2182,484,7,0.106,0.2,0.277,0.2795
16426,Thairo Estrada,SFG,262,6,0.134,0.149,0.241,0.213,86.3,4.9,0.025,0.2917,150,5,0.159,0.1667,0.2456,0.2368,296,9,0.141,0.189,0.2714,0.2279
19625,David MacKinnon,LAA,15, -   , -   ,0.067,0.364,0.273,86.9,12.9, -   , -   ,8, -   , -   , -   ,0.5714,0.2857,7, -   , -   ,0.143, -   ,0.25
25976,Riley Greene,DET,35, -   , -   ,0.143,0.217,0.174,81.4,0.6, -   ,0.2,13, -   , -   ,0.3077,0.125,0.125,22, -   , -   ,0.045,0.2667,0.2
20233,Gilberto Celestino,MIN,130, -   ,0.043,0.208,0.157,0.176,86.9,-3.3,0.011,0.0714,91,1,0.085,0.1978,0.2969,0.1846,101,1,0.075,0.228,0.1714,0.2113
2900,Roberto Perez,PIT,69,2,0.133,0.362,0.343,0.371,89.3,5.4,0.114,0.5,113,5,0.182,0.3186,0.3387,0.3968,227,5,0.095,0.366,0.2609,0.339
2396,Carlos Santana,KCR,212,4,0.125,0.132,0.412,0.331,90.2,12.7,0.074,0.3115,315,8,0.125,0.1111,0.2602,0.3252,811,23,0.135,0.17,0.4371,0.3433
14130,Daniel Vogelbach,PIT,206,9,0.199,0.252,0.462,0.346,91,16.6,0.131,0.4,101,1,0.045,0.2772,0.3833,0.3333,499,23,0.208,0.228,0.3871,0.3355
19918,Daulton Varsho,ARI,275,10,0.178,0.244,0.449,0.353,88.2,16.2,0.092,0.4937,188,3,0.102,0.2394,0.3879,0.2121,517,21,0.215,0.236,0.4505,0.3846
12861,Anthony Rendon,LAA,188,5,0.154,0.17,0.424,0.333,89.7,18.7,0.083,0.3036,209,10,0.224,0.134,0.4345,0.3931,460,10,0.146,0.165,0.4489,0.3375
11342,Jesus Aguilar,MIA,267,9,0.161,0.236,0.426,0.268,87.7,17.7,0.076,0.3205,253,9,0.18,0.2372,0.4472,0.3416,740,30,0.186,0.184,0.4339,0.3315
18171,Seth Brown,OAK,241,10,0.217,0.27,0.436,0.363,90.4,16.5,0.121,0.3529,64,2,0.138,0.3281,0.4211,0.2368,489,28,0.256,0.276,0.4794,0.3639
12510,Curt Casali,SFG,118,4,0.146,0.28,0.417,0.222,87.8,21.6,0.056,0.3333,124,7,0.245,0.2823,0.507,0.3194,318,8,0.139,0.292,0.4475,0.3462
13066,Teoscar Hernandez,TOR,199,7,0.188,0.271,0.333,0.394,92.1,10.5,0.136,0.5227,226,19,0.354,0.2345,0.4241,0.3734,774,36,0.197,0.274,0.3399,0.4024
13624,Corey Seager,TEX,303,15,0.199,0.178,0.409,0.35,90.8,15.9,0.109,0.4,289,16,0.235,0.1869,0.3662,0.385,655,30,0.222,0.157,0.3755,0.4346
12532,Kolten Wong,MIL,209,5,0.161,0.163,0.386,0.235,86.5,16.1,0.034,0.3571,235,4,0.106,0.1404,0.3111,0.2826,674,16,0.161,0.169,0.3602,0.2996
19612,Bo Bichette,TOR,320,12,0.169,0.25,0.303,0.33,91.1,7.9,0.086,0.4627,242,11,0.204,0.1983,0.2948,0.341,896,35,0.179,0.219,0.3103,0.3502
20126,Dylan Carlson,STL,217,4,0.144,0.161,0.354,0.255,84.9,11.5,0.043,0.3333,196,7,0.189,0.2245,0.3433,0.2667,759,18,0.158,0.235,0.3682,0.292
12325,Jace Peterson,MIL,192,6,0.178,0.25,0.355,0.315,88.1,8.5,0.081,0.4884,83, -   ,0.056,0.241,0.2222,0.2037,473,14,0.159,0.245,0.3741,0.3
5038,Josh Donaldson,NYY,232,6,0.151,0.263,0.369,0.355,91.2,14.7,0.106,0.3077,242,16,0.281,0.2438,0.3873,0.4085,635,22,0.182,0.22,0.3848,0.375
16505,Matt Chapman,TOR,264,10,0.183,0.25,0.494,0.382,92,20.5,0.112,0.369,276,17,0.256,0.2717,0.4882,0.3471,762,30,0.19,0.324,0.5176,0.3388
9929,Darin Ruf,SFG,240,6,0.123,0.263,0.359,0.352,89.9,12.5,0.077,0.4118,285,17,0.28,0.214,0.3833,0.3889,367,10,0.14,0.305,0.2871,0.3465
19997,Santiago Espinal,TOR,277,5,0.13,0.177,0.353,0.3,87,14.5,0.048,0.2877,198,2,0.11,0.1364,0.3072,0.2821,391,5,0.107,0.174,0.3646,0.2655
19262,Garrett Hampson,COL,98,2,0.141,0.245,0.368,0.143,85.6,9.2,0.016,0.3333,268,6,0.171,0.2127,0.3765,0.3209,508,12,0.133,0.285,0.3828,0.2997
12564,Trevor Story,BOS,289,11,0.188,0.301,0.483,0.302,88.9,19.8,0.116,0.3012,303,17,0.291,0.2145,0.5196,0.3333,840,29,0.187,0.267,0.4361,0.3835
13675,Tyrone Taylor,MIL,218,9,0.207,0.22,0.452,0.327,89,18.8,0.083,0.4143,171,6,0.172,0.2164,0.4,0.325,359,17,0.232,0.217,0.464,0.3506
16424,Jordan Luplow,ARI,129,10,0.288,0.287,0.48,0.387,87.6,16,0.107,0.4444,208,13,0.267,0.2644,0.5714,0.3361,206,10,0.222,0.282,0.4628,0.3279
17321,Michael Chavis,PIT,214,8,0.178,0.271,0.423,0.296,85.3,13.9,0.092,0.3,195,10,0.219,0.3128,0.32,0.368,301,6,0.132,0.296,0.3795,0.2513
16939,Lane Thomas,WSN,227,8,0.176,0.251,0.4,0.28,88.1,11.5,0.073,0.3833,173,5,0.195,0.185,0.3814,0.3361,358,11,0.164,0.282,0.4083,0.3578
15104,Jonathan Davis,MIL,21, -   , -   ,0.286,0.083,0.167,83.7,0.1, -   ,1,60,2,0.143,0.2833,0.3529,0.3235,98, -   ,0.024,0.265,0.3333,0.193
21501,Trevor Larnach,MIN,180,5,0.175,0.317,0.39,0.371,90.1,13.1,0.114,0.4878,141,2,0.101,0.3333,0.3494,0.253,340,10,0.165,0.335,0.3778,0.3944
18882,Brandon Lowe,TBR,133,5,0.203,0.256,0.424,0.329,89.8,16.7,0.106,0.3889,283,19,0.263,0.3004,0.4588,0.3256,689,39,0.271,0.253,0.4262,0.3848
23667,Wander Franco,TBR,195,4,0.148,0.108,0.274,0.293,88.5,5.5,0.049,0.2889,154,5,0.22,0.0974,0.3386,0.2598,349,6,0.139,0.123,0.305,0.305
23733,Ezequiel Duran,TEX,64,2,0.177,0.266,0.222,0.267,87.7,1.9,0.022,0.3,12, -   ,0.167,0.25,0.1111,0.3333,52,2,0.18,0.269,0.25,0.25
19290,Randy Arozarena,TBR,292,7,0.151,0.25,0.281,0.296,90.1,6.6,0.065,0.2679,319,15,0.232,0.232,0.3816,0.3365,653,19,0.166,0.292,0.2814,0.3065
22277,Nick Allen,OAK,44,1,0.158,0.182,0.433,0.167,81.3,13.3, -   ,0.2308,12,1,0.364,0.25,0.5,0.5,32, -   ,0.074,0.156,0.4091,0.0455
15271,Austin Wynns,SFG,36,1,0.152,0.194,0.346,0.154,79.9,8.7,0.038,0.1111,60,1,0.054,0.2,0.3409,0.1364,115,4,0.168,0.226,0.3457,0.3049
14109,Albert Almora Jr.,CIN,136,5,0.168,0.169,0.278,0.255,84.5,7.2,0.027,0.4,75,2,0.113,0.2,0.3571,0.1964,149,3,0.127,0.228,0.2593,0.3091
15672,Austin Meadows,DET,147, -   ,0.078,0.116,0.441,0.297,88.2,17.7,0.063,0.2449,269,3,0.076,0.2454,0.5254,0.2994,621,28,0.24,0.198,0.5095,0.3602
1744,Miguel Cabrera,DET,242,3,0.071,0.264,0.232,0.244,90.1,6.3,0.061,0.3158,255,5,0.093,0.2039,0.2514,0.3086,744,23,0.133,0.243,0.3156,0.3314
24655,Owen Miller,CLE,246,4,0.143,0.199,0.352,0.284,87.8,11.5,0.034,0.2742,164,4,0.129,0.2622,0.2925,0.3774,284,4,0.123,0.211,0.3173,0.2404
16219,J.D. Davis,NYM,167,2,0.104,0.305,0.263,0.358,93.7,9.2,0.116,0.36,226,4,0.118,0.2832,0.2581,0.3548,381,9,0.144,0.291,0.2694,0.3288
19334,Yadiel Hernandez,WSN,201,4,0.118,0.229,0.254,0.296,88.8,2.3,0.085,0.5833,129,4,0.167,0.2326,0.2472,0.2333,389,10,0.126,0.224,0.2372,0.3467
17907,Brendan Rodgers,COL,267,6,0.153,0.184,0.33,0.335,89.6,4.8,0.09,0.4545,189,11,0.267,0.1481,0.2973,0.3649,514,10,0.133,0.216,0.3091,0.3522
17128,Ramon Laureano,OAK,171,2,0.113,0.199,0.308,0.376,89.3,12,0.077,0.3056,226,6,0.176,0.2168,0.3267,0.3333,545,16,0.162,0.259,0.3451,0.3392
15983,Clint Frazier,CHC,45, -   ,0.081,0.244,0.32,0.346,85.9,18,0.038,0.25,152,3,0.119,0.2829,0.3537,0.3735,271,10,0.196,0.284,0.3758,0.2819
26288,Adley Rutschman,BAL,116,2,0.179,0.19,0.369,0.357,91.3,16.3,0.071,0.3548,23, -   ,0.095,0.2609,0.4,0.6667,93,2,0.2,0.172,0.3623,0.2899
14567,Franchy Cordero,BOS,155,3,0.154,0.271,0.368,0.427,91.3,13.6,0.115,0.4286,49,1,0.073,0.2449,0.3571,0.1667,284,5,0.138,0.299,0.3125,0.3785
10681,Gio Urshela,MIN,253,6,0.135,0.162,0.365,0.349,89.1,11.6,0.078,0.3571,254,5,0.142,0.2087,0.2857,0.3242,615,21,0.16,0.198,0.3385,0.3031
11737,Nick Castellanos,PHI,307,7,0.135,0.231,0.362,0.296,87.9,13.1,0.08,0.4156,294,15,0.226,0.1939,0.3486,0.3761,840,40,0.231,0.243,0.3725,0.3636
11200,Kole Calhoun,TEX,239,8,0.172,0.255,0.389,0.37,91,16.8,0.123,0.3968,150,6,0.182,0.2533,0.4,0.32,499,23,0.211,0.228,0.3946,0.3976
13788,Matt Reynolds,- - -,151,3,0.118,0.245,0.29,0.35,91.5,7.2,0.04,0.4828,50,1,0.163,0.24,0.3548,0.3548,112,2,0.087,0.286,0.2603,0.3288
