playerid,Name,Team, PA , HR , ISO , K% , FB% , Hard% , EV , LA , Barrel% , Hard%(FB) , vL-PA(2y) , vL-HR(2y) , vL-ISO(2y) , vL-K%(2y) , vL-FB%(2y) , vL-Hard%(2y) , vR-PA(2y) , vR-HR(2y) , vR-ISO(2y) , vR-K%(2y) , vR-FB%(2y) , vR-Hard%(2y) 
17479,Jack Flaherty,STL, -   , -   , -   , -   , -   ,,,,, -   ,3,1,1,0.3333,1,0.5,23, -   , -   ,0.261,0.1111,0.0833
17480,Daniel Duarte,CIN, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17485,Albert Abreu,- - -, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17489,Spenser Watkins,BAL, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17490,Genesis Cabrera,STL, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17496,Diego Castillo,SEA, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17536,Ryan Burr,CHW, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17556,Jimmy Herget,LAA, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17578,JT Brubaker,PIT, -   , -   , -   , -   , -   ,,,,, -   ,13, -   , -   ,0.3846,0.1667, -   ,30, -   , -   ,0.333,0.0667,0.3125
17583,Marcos Diplan,BAL, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17586,Tanner Scott,MIA, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17594,Mitch Keller,PIT, -   , -   , -   , -   , -   ,,,,, -   ,8, -   , -   ,0.375, -   ,0.2,24, -   , -   ,0.458, -   , -   
17606,Cristian Javier,HOU, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17610,Tanner Rainey,WSN, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17611,Taylor Clarke,KCR, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,3, -   , -   ,0.667, -   , -   
17639,Justin Lawrence,COL, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17677,Jeffrey Springs,TBR, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17682,Ralph Garza,TBR, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17701,Jose Cuas,KCR, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17722,Trevor Megill,MIN, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17732,Nabil Crismatt,SDP, -   , -   , -   , -   , -   ,,,,, -   ,3, -   , -   ,0.6667, -   , -   ,8, -   , -   ,0.5, -   , -   
17735,Tyler Alexander,DET, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,0.5, -   , -   
17755,Drew Smith,NYM, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   
17766,D.J. Stewart,BAL,3, -   , -   ,0.667,1, -   ,79.3,47.9, -   , -   ,66,1,0.053,0.3333,0.3235,0.3056,367,18,0.217,0.292,0.5077,0.3283
17780,Jose Alvarado,PHI,1, -   , -   ,1, -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   ,1, -   , -   
17783,Jake Brentz,KCR, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   
17796,Dillon Tate,BAL, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17807,Drew Jackson,OAK,3, -   , -   ,0.333, -   , -   ,83.7,-18.2, -   , -   ,3, -   , -   ,0.3333, -   , -   , -   , -   , -   , -   , -   , -   
17874,Nestor Cortes,NYY, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   
17878,Dennis Santana,TEX, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   ,1, -   , -   
17888,Tayler Saucedo,TOR, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17897,Garrett Cleavinger,LAD, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,3, -   ,0.5,0.333, -   , -   
17948,Trent Thornton,TOR, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17964,Tyler Gilbert,ARI, -   , -   , -   , -   , -   ,,,,, -   ,3, -   , -   ,0.3333, -   , -   ,8, -   , -   ,0.625, -   , -   
17968,Brock Burke,TEX, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
17975,Scott Kingery,PHI, -   , -   , -   , -   , -   ,,,,, -   ,52, -   , -   ,0.4231,0.48,0.1923,91,3,0.165,0.275,0.4333,0.35
17995,Logan Webb,SFG, -   , -   , -   , -   , -   ,,,,, -   ,11, -   , -   ,0.3636,0.25, -   ,42,1,0.184,0.405,0.55,0.2917
18000,Triston McKenzie,CLE, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   
18064,Phil Maton,HOU, -   , -   , -   , -   , -   ,,,,, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   
