rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,BB%,K%,SwStr%,Pitches,SB,CS
90,Marwin Gonzalez,NYY,10,27,26,7,2,36.8%,28.6%,.269,.577,.308,84.9,10.5%,36.8%,25.9%,0.0%,13.0%,92,1,0
91,Nick Senzel,CIN,12,41,37,14,0,33.3%,0.0%,.378,.405,.027,89.4,3.6%,39.3%,24.4%,7.3%,10.3%,155,3,0
92,Juan Yepez,STL,13,48,47,13,4,58.8%,20.0%,.277,.617,.340,83.8,11.8%,38.2%,29.2%,0.0%,12.4%,178,0,0
93,Willson Contreras,CHC,13,61,49,13,1,17.1%,16.7%,.265,.408,.143,86.9,2.9%,34.3%,23.0%,16.4%,13.9%,259,0,1
94,Brandon Drury,CIN,11,45,43,12,2,51.5%,11.8%,.279,.558,.279,87.3,9.1%,30.3%,22.2%,2.2%,10.9%,165,0,0
95,Rafael Ortega,CHC,12,45,34,9,1,58.6%,5.9%,.265,.471,.206,90.4,10.0%,36.7%,15.6%,15.6%,8.1%,186,1,0
96,Rob Refsnyder,BOS,7,28,23,5,2,57.9%,18.2%,.217,.565,.348,92.5,31.6%,52.6%,17.9%,14.3%,7.7%,117,0,1
97,Franmil Reyes,CLE,11,43,41,11,3,50.0%,30.0%,.268,.561,.293,94.0,15.0%,60.0%,48.8%,4.7%,18.6%,177,0,0
98,Yairo Munoz,PHI,8,16,15,5,0,0.0%,0.0%,.333,.467,.133,93.0,0.0%,57.1%,6.3%,6.3%,16.3%,49,1,0
99,Diego Castillo,PIT,11,34,33,7,4,47.4%,44.4%,.212,.636,.424,89.8,26.3%,36.8%,41.2%,0.0%,13.8%,145,0,0
100,Jake Hager,ARI,7,17,15,5,0,27.3%,0.0%,.333,.400,.067,75.9,8.3%,16.7%,17.6%,11.8%,7.1%,70,0,0
101,Garrett Cooper,MIA,13,55,50,16,1,25.0%,10.0%,.320,.480,.160,88.4,7.5%,50.0%,20.0%,7.3%,9.3%,216,0,0
102,Yandy Diaz,TBR,13,54,47,15,0,34.1%,0.0%,.319,.404,.085,93.8,2.3%,50.0%,5.6%,13.0%,1.9%,212,0,0
103,Matt Vierling,PHI,9,30,21,6,0,38.9%,0.0%,.286,.381,.095,92.7,5.6%,50.0%,16.7%,23.3%,5.9%,135,0,0
104,Teoscar Hernandez,TOR,14,54,51,15,2,38.7%,16.7%,.294,.510,.216,92.6,12.9%,58.1%,37.0%,5.6%,18.7%,214,0,0
105,Steven Kwan,CLE,13,53,46,15,0,21.1%,0.0%,.326,.391,.065,87.2,0.0%,21.1%,15.1%,13.2%,4.2%,240,1,1
106,Giancarlo Stanton,NYY,13,54,47,9,6,36.4%,50.0%,.191,.574,.383,92.7,17.6%,47.1%,25.9%,11.1%,13.7%,219,0,0
107,Bryson Stott,PHI,10,34,27,8,0,19.2%,0.0%,.296,.333,.037,93.2,3.8%,57.7%,2.9%,20.6%,2.1%,142,2,0
108,Travis d'Arnaud,ATL,10,44,42,12,2,37.1%,15.4%,.286,.524,.238,85.0,8.6%,34.3%,15.9%,4.5%,13.2%,167,0,0
109,Carlos Santana,- - -,11,43,38,11,1,37.9%,9.1%,.289,.447,.158,93.0,13.8%,51.7%,20.9%,11.6%,10.3%,165,0,0
110,Jace Peterson,MIL,11,37,33,10,1,38.1%,12.5%,.303,.485,.182,94.4,4.5%,50.0%,32.4%,2.7%,10.1%,148,1,0
111,Sam Haggerty,SEA,5,12,12,4,0,22.2%,0.0%,.333,.500,.167,77.4,0.0%,0.0%,16.7%,0.0%,6.1%,33,1,0
112,Leody Taveras,TEX,11,24,24,7,2,52.9%,22.2%,.292,.542,.250,90.3,5.6%,38.9%,25.0%,0.0%,12.9%,85,1,0
113,Vinnie Pasquantino,KCR,5,20,14,2,1,33.3%,25.0%,.143,.357,.214,96.7,8.3%,58.3%,10.0%,25.0%,3.0%,66,0,0
114,Seby Zavala,CHW,11,35,32,10,0,30.0%,0.0%,.313,.469,.156,86.9,4.8%,28.6%,34.3%,5.7%,12.0%,166,0,0
115,Ty France,SEA,3,11,11,4,0,11.1%,0.0%,.364,.455,.091,83.4,0.0%,22.2%,18.2%,0.0%,12.5%,40,0,0
116,Kyle Garlick,MIN,6,15,15,6,0,0.0%,0.0%,.400,.400,.000,95.0,0.0%,66.7%,40.0%,0.0%,15.4%,65,0,0
117,Yadiel Hernandez,WSN,10,30,26,7,1,37.5%,11.1%,.269,.500,.231,95.0,25.0%,66.7%,10.0%,6.7%,8.1%,123,0,0
118,Anthony Rizzo,NYY,12,48,38,6,4,52.0%,30.8%,.158,.474,.316,92.2,20.0%,56.0%,27.1%,18.8%,7.9%,229,0,0
119,Keibert Ruiz,WSN,8,31,27,7,1,53.8%,7.1%,.259,.444,.185,88.6,3.8%,30.8%,3.2%,9.7%,2.8%,109,1,0
120,Kole Calhoun,TEX,11,45,43,11,3,41.4%,25.0%,.256,.535,.279,93.0,13.8%,58.6%,31.1%,4.4%,17.6%,182,1,0
121,Jeremy Pena,HOU,6,28,28,8,2,23.5%,50.0%,.286,.536,.250,89.5,16.7%,44.4%,35.7%,0.0%,24.7%,97,0,0
122,Rafael Devers,BOS,11,53,47,14,1,37.1%,7.7%,.298,.447,.149,94.1,11.1%,55.6%,20.8%,9.4%,12.3%,195,0,0
123,Matt Olson,ATL,13,56,51,12,4,58.5%,16.7%,.235,.549,.314,93.6,19.0%,54.8%,17.9%,7.1%,6.5%,217,0,0
124,Tyrone Taylor,MIL,11,40,37,9,3,50.0%,25.0%,.243,.514,.270,87.2,12.5%,37.5%,32.5%,5.0%,10.2%,166,0,0
125,Pete Alonso,NYM,11,42,36,9,3,44.8%,23.1%,.250,.528,.278,86.8,10.3%,44.8%,21.4%,9.5%,10.6%,160,0,0
126,Eric Haase,DET,8,24,22,6,2,53.3%,25.0%,.273,.545,.273,89.7,20.0%,46.7%,33.3%,4.2%,22.3%,94,0,0
127,Michael Harris II,ATL,13,49,46,13,2,20.6%,28.6%,.283,.478,.196,87.8,8.8%,32.4%,24.5%,4.1%,14.4%,180,2,0
128,Kyle Schwarber,PHI,12,52,49,11,5,59.4%,26.3%,.224,.551,.327,95.7,27.3%,57.6%,30.8%,5.8%,9.5%,210,1,0
129,Riley Greene,DET,11,49,43,12,1,20.6%,14.3%,.279,.419,.140,89.1,11.8%,50.0%,18.4%,12.2%,6.0%,215,1,1
130,Edward Olivares,KCR,7,25,24,5,3,29.4%,60.0%,.208,.583,.375,89.5,17.6%,35.3%,28.0%,4.0%,9.5%,105,0,0
131,Dylan Carlson,STL,13,50,43,11,1,42.9%,8.3%,.256,.465,.209,87.9,3.6%,28.6%,32.0%,10.0%,13.3%,211,3,0
132,Miguel Rojas,MIA,12,42,40,13,1,18.9%,14.3%,.325,.475,.150,89.7,2.7%,40.5%,9.5%,2.4%,7.4%,135,3,0
133,Willy Adames,MIL,13,57,52,13,3,42.5%,17.6%,.250,.481,.231,87.8,12.5%,40.0%,21.1%,8.8%,14.1%,248,1,0
134,Yuli Gurriel,HOU,12,45,41,10,2,48.6%,11.8%,.244,.488,.244,87.6,2.9%,37.1%,13.3%,8.9%,5.9%,153,0,0
135,Mitch Garver,TEX,9,30,25,6,1,43.8%,14.3%,.240,.400,.160,89.8,12.5%,37.5%,30.0%,16.7%,13.1%,130,0,0
136,Ketel Marte,ARI,9,37,28,6,1,38.1%,12.5%,.214,.321,.107,86.7,0.0%,23.8%,18.9%,24.3%,5.5%,164,0,0
137,Vladimir Guerrero Jr.,TOR,14,64,57,15,2,33.3%,14.3%,.263,.439,.175,91.3,7.1%,47.6%,23.4%,10.9%,11.3%,239,0,0
138,Jose Azocar,SDP,12,28,27,8,0,36.4%,0.0%,.296,.481,.185,88.7,0.0%,31.8%,17.9%,3.6%,12.4%,97,0,1
139,Trayce Thompson,LAD,12,34,32,9,1,38.9%,14.3%,.281,.469,.188,92.0,22.2%,50.0%,41.2%,5.9%,25.0%,136,1,0
140,Trey Mancini,BAL,11,46,43,11,2,30.3%,20.0%,.256,.488,.233,91.2,12.1%,42.4%,21.7%,2.2%,8.2%,182,0,0
141,George Springer,TOR,10,45,37,8,2,30.0%,22.2%,.216,.405,.189,89.5,6.7%,53.3%,15.6%,15.6%,15.4%,182,3,0
142,Joey Votto,CIN,11,47,41,10,1,28.6%,12.5%,.244,.439,.195,90.2,17.9%,39.3%,27.7%,12.8%,15.2%,191,0,0
143,Luis Arraez,MIN,14,63,57,16,1,39.6%,4.8%,.281,.456,.175,89.1,1.9%,39.6%,7.9%,7.9%,1.7%,242,0,1
144,Jack Suwinski,PIT,14,52,42,8,2,56.5%,15.4%,.190,.429,.238,87.9,13.0%,30.4%,36.5%,15.4%,11.1%,234,0,0
145,Jurickson Profar,SDP,13,58,46,11,0,34.1%,0.0%,.239,.326,.087,83.6,2.3%,15.9%,3.4%,17.2%,6.9%,231,0,1
146,Marcus Semien,TEX,11,50,47,13,3,53.8%,14.3%,.277,.532,.255,87.6,10.3%,41.0%,20.0%,2.0%,8.6%,187,1,0
147,J.T. Realmuto,PHI,10,41,39,10,3,29.0%,33.3%,.256,.487,.231,90.8,9.7%,51.6%,19.5%,4.9%,8.4%,178,3,0
148,Alec Bohm,PHI,11,45,45,15,0,30.0%,0.0%,.333,.444,.111,88.6,0.0%,30.0%,11.1%,0.0%,7.6%,157,0,0
149,Ryan Jeffers,MIN,9,28,25,7,0,36.8%,0.0%,.280,.400,.120,94.7,20.0%,60.0%,17.9%,10.7%,10.2%,118,0,0
150,Omar Narvaez,MIL,8,31,27,6,1,56.5%,7.7%,.222,.444,.222,83.6,4.3%,21.7%,12.9%,12.9%,4.0%,126,0,0
151,Gio Urshela,MIN,13,49,48,13,2,40.5%,13.3%,.271,.500,.229,88.6,10.8%,43.2%,22.4%,2.0%,16.0%,156,0,0
152,Cedric Mullins II,BAL,11,46,41,13,0,44.1%,0.0%,.317,.390,.073,89.2,0.0%,38.9%,13.0%,8.7%,11.0%,155,1,1
153,David Bote,CHC,6,18,15,4,0,33.3%,0.0%,.267,.333,.067,91.8,0.0%,66.7%,33.3%,11.1%,10.8%,83,0,0
154,Adolis Garcia,TEX,11,46,44,11,2,35.3%,16.7%,.250,.500,.250,93.1,14.7%,52.9%,21.7%,4.3%,19.8%,177,0,0
155,Nomar Mazara,SDP,11,30,26,6,1,52.6%,10.0%,.231,.423,.192,82.7,5.3%,21.1%,23.3%,13.3%,13.3%,128,0,0
156,Whit Merrifield,KCR,12,53,45,12,0,30.6%,0.0%,.267,.356,.089,84.7,2.8%,22.2%,17.0%,15.1%,5.0%,201,5,1
157,Victor Caratini,MIL,7,22,17,3,1,30.0%,33.3%,.176,.353,.176,92.3,20.0%,60.0%,31.8%,18.2%,5.1%,99,0,0
158,Nolan Gorman,STL,11,42,39,9,3,48.0%,25.0%,.231,.487,.256,90.9,12.0%,36.0%,33.3%,7.1%,14.8%,169,0,0
159,Marcell Ozuna,ATL,13,54,48,11,4,50.0%,22.2%,.229,.479,.250,91.7,19.4%,50.0%,24.1%,7.4%,10.7%,225,0,0
160,Randy Arozarena,TBR,12,53,49,14,1,26.5%,11.1%,.286,.408,.122,92.6,8.8%,47.1%,28.3%,7.5%,11.4%,219,6,1
161,Eduardo Escobar,NYM,10,38,36,8,4,61.5%,25.0%,.222,.556,.333,89.8,15.4%,34.6%,28.9%,2.6%,9.9%,151,0,0
162,Brandon Nimmo,NYM,11,48,46,14,1,31.6%,8.3%,.304,.457,.152,87.1,12.5%,40.0%,14.6%,2.1%,9.3%,172,0,0
163,Nick Allen,OAK,12,44,40,11,1,31.3%,10.0%,.275,.400,.125,85.6,2.9%,20.6%,13.6%,9.1%,9.9%,162,0,2
164,Michael A. Taylor,KCR,11,42,39,11,1,25.9%,14.3%,.282,.410,.128,84.3,3.6%,28.6%,26.2%,7.1%,12.4%,137,0,0
165,Ryan McMahon,COL,12,46,41,10,2,47.1%,12.5%,.244,.415,.171,92.4,8.8%,41.2%,15.2%,10.9%,5.9%,186,1,0
166,Austin Slater,SFG,11,29,26,7,1,12.5%,50.0%,.269,.385,.115,89.7,6.3%,43.8%,34.5%,10.3%,13.2%,121,1,0
167,Hunter Renfroe,MIL,3,12,10,2,0,55.6%,0.0%,.200,.400,.200,90.6,11.1%,33.3%,8.3%,16.7%,2.0%,50,0,0
168,Victor Reyes,DET,8,30,28,8,1,47.8%,9.1%,.286,.464,.179,84.4,13.0%,47.8%,20.0%,3.3%,8.8%,113,0,0
169,Max Kepler,MIN,13,54,43,8,2,39.4%,15.4%,.186,.349,.163,89.5,6.1%,45.5%,18.5%,18.5%,8.0%,226,0,0
170,Randal Grichuk,COL,10,33,30,7,1,52.2%,8.3%,.233,.433,.200,86.3,8.7%,47.8%,21.2%,6.1%,12.0%,108,0,0
171,Alex Kirilloff,MIN,13,48,43,12,1,43.2%,6.3%,.279,.442,.163,91.6,10.8%,51.4%,16.7%,4.2%,8.3%,169,0,0
