rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,EV,Barrel%,HardHit%,BB%,K%,SwStr%,Pitches,SB,CS
172,Ramon Laureano,OAK,12,51,46,11,2,38.5%,20.0%,.239,.413,.174,87.9,15.4%,34.6%,39.2%,7.8%,18.8%,213,3,1
173,Josh Naylor,CLE,10,41,39,10,3,36.1%,23.1%,.256,.513,.256,93.5,11.1%,47.2%,9.8%,2.4%,8.1%,148,0,0
174,Curt Casali,SFG,6,17,13,3,0,30.0%,0.0%,.231,.231,.000,85.2,0.0%,40.0%,17.6%,23.5%,6.6%,76,0,0
175,Adley Rutschman,BAL,10,40,38,8,2,40.6%,15.4%,.211,.500,.289,87.1,9.4%,34.4%,15.0%,5.0%,5.4%,168,1,0
176,Alfonso Rivas,CHC,12,41,37,11,1,22.2%,16.7%,.297,.378,.081,87.8,7.4%,44.4%,26.8%,4.9%,9.9%,161,2,0
177,Sean Murphy,OAK,11,46,41,12,1,31.6%,8.3%,.293,.390,.098,90.0,10.3%,41.0%,8.7%,4.3%,5.7%,174,1,0
178,Bligh Madris,PIT,13,51,50,14,1,20.6%,14.3%,.280,.440,.160,89.4,8.8%,41.2%,31.4%,2.0%,14.7%,197,2,0
179,Tommy La Stella,SFG,10,36,34,10,0,36.7%,0.0%,.294,.382,.088,89.0,0.0%,26.7%,11.1%,2.8%,5.7%,159,0,0
180,Francisco Lindor,NYM,11,45,40,10,1,44.8%,7.7%,.250,.375,.125,89.3,17.2%,48.3%,24.4%,11.1%,12.6%,191,1,0
181,Tyler Wade,LAA,10,15,12,3,0,33.3%,0.0%,.250,.250,.000,83.9,0.0%,9.1%,6.7%,20.0%,1.6%,61,1,0
182,Ha-seong Kim,SDP,13,49,43,11,1,30.6%,9.1%,.256,.349,.093,89.2,5.6%,47.2%,14.3%,12.2%,5.1%,215,0,1
183,Jose Miranda,MIN,11,33,31,8,1,46.4%,7.7%,.258,.419,.161,87.7,3.6%,39.3%,9.1%,6.1%,12.0%,117,0,1
184,Brendan Donovan,STL,13,52,43,10,1,32.3%,10.0%,.233,.349,.116,82.6,0.0%,16.1%,25.0%,11.5%,7.2%,223,0,1
185,Jorge Polanco,MIN,5,21,20,4,2,42.9%,33.3%,.200,.500,.300,89.6,14.3%,35.7%,28.6%,4.8%,13.2%,91,0,0
186,Abraham Toro,SEA,9,31,29,8,1,39.1%,11.1%,.276,.448,.172,92.3,8.7%,43.5%,22.6%,3.2%,6.4%,110,1,0
187,Kris Bryant,COL,5,22,21,7,0,35.0%,0.0%,.333,.333,.000,87.8,0.0%,30.0%,4.5%,4.5%,7.8%,77,0,0
188,Kyle Farmer,CIN,10,39,34,9,0,26.7%,0.0%,.265,.324,.059,84.8,3.3%,36.7%,10.3%,10.3%,8.8%,148,0,1
189,Taylor Trammell,SEA,8,27,24,5,1,33.3%,16.7%,.208,.417,.208,85.5,11.1%,16.7%,22.2%,11.1%,17.9%,84,1,0
190,Willi Castro,DET,7,25,23,6,0,41.2%,0.0%,.261,.391,.130,83.2,0.0%,35.3%,24.0%,8.0%,14.7%,95,0,0
191,Sandy Leon,CLE,5,14,9,1,0,42.9%,0.0%,.111,.111,.000,91.7,0.0%,71.4%,14.3%,35.7%,6.3%,64,0,0
192,Byron Buxton,MIN,11,38,36,7,2,40.0%,25.0%,.194,.500,.306,97.3,15.0%,65.0%,42.1%,5.3%,19.4%,155,0,0
193,Taylor Walls,TBR,13,38,36,10,0,48.1%,0.0%,.278,.389,.111,87.3,11.1%,22.2%,23.7%,5.3%,12.1%,141,1,0
194,Sheldon Neuse,OAK,13,43,41,13,0,21.9%,0.0%,.317,.341,.024,88.6,3.1%,40.6%,20.9%,4.7%,12.3%,163,1,0
195,Seth Brown,OAK,11,42,40,10,1,33.3%,10.0%,.250,.425,.175,87.9,10.0%,36.7%,23.8%,2.4%,12.3%,155,1,0
196,Donovan Solano,CIN,9,36,33,8,0,28.0%,0.0%,.242,.394,.152,85.7,8.0%,36.0%,22.2%,2.8%,7.4%,135,0,0
197,Charlie Blackmon,COL,10,44,42,11,2,38.2%,15.4%,.262,.452,.190,88.6,2.9%,31.4%,18.2%,2.3%,11.0%,146,0,0
198,Josh Rojas,ARI,11,44,41,12,0,33.3%,0.0%,.293,.390,.098,88.0,0.0%,45.5%,20.5%,2.3%,8.6%,151,0,0
199,Emmanuel Rivera,KCR,6,19,18,4,1,58.3%,14.3%,.222,.444,.222,93.0,16.7%,33.3%,31.6%,0.0%,12.5%,72,0,0
200,Jeimer Candelario,DET,9,33,28,7,0,30.0%,0.0%,.250,.286,.036,85.1,5.0%,35.0%,24.2%,9.1%,15.4%,123,0,0
201,Raimel Tapia,TOR,10,39,35,9,1,16.7%,20.0%,.257,.400,.143,92.4,3.1%,40.6%,12.8%,5.1%,7.9%,140,1,0
202,Jorge Alfaro,SDP,9,36,35,9,1,36.8%,14.3%,.257,.429,.171,90.7,26.3%,36.8%,44.4%,2.8%,25.7%,144,0,0
203,Miguel Cabrera,DET,10,42,38,12,0,16.1%,0.0%,.316,.316,.000,90.2,3.2%,35.5%,19.0%,4.8%,11.5%,165,0,0
204,Adam Duvall,ATL,12,42,39,8,2,32.0%,25.0%,.205,.436,.231,89.3,20.0%,36.0%,33.3%,2.4%,14.7%,156,0,2
