rank,Name,Team,G,PA,AB,H,HR,FB%,HR/FB,AVG,SLG,ISO,BB%,K%
40,Mookie Betts,LAD,107,231,199,56,11,43.3%,16.2%,.281,.518,.236,12.6%,19.0%
41,A.J. Pollock,- - -,96,190,175,52,11,33.6%,23.4%,.297,.549,.251,6.8%,18.4%
42,Trevor Story,- - -,116,229,205,56,12,51.6%,15.2%,.273,.566,.293,8.7%,23.1%
43,Ramon Laureano,OAK,77,189,165,50,4,32.6%,9.5%,.303,.479,.176,10.6%,19.0%
44,Matt Olson,- - -,160,373,322,84,24,43.7%,21.6%,.261,.543,.283,11.5%,19.3%
45,Ryan Zimmerman,WSN,55,116,110,32,7,31.6%,29.2%,.291,.582,.291,4.3%,30.2%
46,Tim Anderson,CHW,79,178,173,59,6,21.6%,20.0%,.341,.520,.179,2.8%,19.1%
47,J.D. Martinez,BOS,130,285,252,76,11,44.7%,12.4%,.302,.520,.218,10.9%,19.3%
48,Kyle Tucker,HOU,137,298,271,76,19,45.8%,17.4%,.280,.561,.280,7.7%,12.4%
49,George Springer,TOR,77,155,129,34,7,39.1%,19.4%,.264,.496,.233,13.5%,24.5%
50,Lane Thomas,- - -,81,175,151,45,5,38.5%,10.6%,.298,.490,.192,12.6%,17.1%
51,Mitch Haniger,SEA,104,236,209,58,16,43.5%,22.9%,.278,.555,.278,9.3%,22.0%
52,Hunter Renfroe,- - -,126,267,234,63,16,44.4%,20.0%,.269,.530,.261,10.5%,21.3%
53,Giancarlo Stanton,NYY,124,249,214,57,15,38.2%,25.9%,.266,.500,.234,12.0%,25.3%
54,Josh Donaldson,- - -,106,225,189,45,15,40.1%,27.3%,.238,.529,.291,14.2%,24.0%
55,Carlos Correa,- - -,127,292,246,72,6,32.7%,9.2%,.293,.447,.154,14.7%,16.4%
56,Jonah Heim,TEX,74,141,127,36,8,35.6%,22.2%,.283,.543,.260,7.8%,19.9%
57,Anthony Rizzo,- - -,132,269,237,67,13,39.0%,16.3%,.283,.494,.211,7.8%,12.3%
58,Kris Bryant,- - -,92,187,166,48,9,41.0%,18.0%,.289,.506,.217,11.2%,23.5%
59,Eduardo Escobar,- - -,131,249,232,68,13,44.7%,15.3%,.293,.547,.254,5.6%,17.7%
60,Carson Kelly,ARI,83,176,151,41,9,47.2%,15.3%,.272,.510,.238,11.9%,15.9%
61,Xander Bogaerts,BOS,135,280,239,72,8,32.8%,13.1%,.301,.456,.155,13.6%,19.6%
62,Albert Pujols,- - -,98,199,183,53,15,34.8%,27.8%,.290,.568,.279,5.0%,16.1%
63,Austin Slater,SFG,138,274,236,64,13,29.9%,25.0%,.271,.496,.225,12.0%,22.6%
64,Yordan Alvarez,HOU,147,329,288,79,17,33.8%,23.3%,.274,.510,.236,10.0%,22.5%
65,Bryce Harper,PHI,134,281,230,62,7,27.7%,16.3%,.270,.439,.170,16.0%,25.3%
66,Brandon Nimmo,NYM,96,233,193,56,3,35.4%,5.8%,.290,.430,.140,12.4%,20.2%
67,Chas McCormick,HOU,69,143,126,34,8,46.7%,19.0%,.270,.524,.254,9.8%,26.6%
68,Nick Castellanos,- - -,115,242,225,68,12,34.8%,19.4%,.302,.520,.218,6.2%,19.8%
69,Ozzie Albies,ATL,115,260,245,74,12,46.0%,12.1%,.302,.547,.245,3.5%,13.1%
70,Ty France,SEA,125,291,257,78,11,29.0%,17.5%,.304,.486,.183,6.5%,15.1%
71,Austin Riley,ATL,107,244,216,61,9,38.7%,15.5%,.282,.514,.231,8.6%,28.7%
72,Corey Seager,- - -,101,220,201,58,12,34.2%,21.8%,.289,.517,.229,6.4%,19.1%
73,Garrett Cooper,MIA,65,128,115,36,4,30.9%,16.0%,.313,.470,.157,8.6%,27.3%
74,Josh Bell,WSN,160,303,254,67,14,29.5%,21.5%,.264,.484,.220,14.5%,12.5%
75,Austin Hays,BAL,122,303,279,81,15,40.3%,16.1%,.290,.523,.233,5.3%,16.2%
76,Shohei Ohtani,LAA,157,340,301,76,21,36.0%,29.2%,.252,.548,.296,10.0%,29.4%
77,Yuli Gurriel,HOU,131,295,261,77,11,46.3%,9.9%,.295,.502,.207,9.8%,8.8%
78,Max Muncy,LAD,118,232,194,46,14,38.1%,23.7%,.237,.490,.253,13.4%,17.2%
79,Jose Altuve,HOU,108,270,245,70,13,42.4%,15.5%,.286,.514,.229,7.8%,15.2%
80,Gleyber Torres,NYY,113,239,215,61,13,47.4%,16.0%,.284,.512,.228,7.9%,18.8%
81,Patrick Wisdom,CHC,111,199,175,43,13,47.4%,28.3%,.246,.520,.274,11.1%,39.2%
82,Bryan Reynolds,PIT,149,289,257,79,7,25.6%,14.0%,.307,.471,.163,10.4%,22.1%
83,Trey Mancini,BAL,138,319,287,82,13,38.1%,15.1%,.286,.495,.209,8.8%,19.4%
84,Chris Taylor,LAD,130,250,222,62,8,38.7%,14.5%,.279,.491,.212,10.8%,30.4%
85,Randy Arozarena,TBR,138,302,265,76,11,37.7%,15.3%,.287,.487,.200,10.6%,24.8%
86,Mike Brosseau,- - -,77,158,137,37,7,43.9%,16.3%,.270,.489,.219,11.4%,25.9%
87,Garrett Hampson,COL,94,196,174,49,5,34.8%,10.9%,.282,.489,.207,9.7%,17.9%
88,Harold Ramirez,- - -,101,197,181,58,3,22.2%,8.8%,.320,.459,.138,7.1%,14.2%
89,Enrique Hernandez,BOS,120,291,248,64,13,45.3%,14.3%,.258,.492,.234,12.7%,17.5%
90,Amed Rosario,CLE,119,271,250,77,7,31.1%,10.8%,.308,.480,.172,7.4%,15.5%
91,Manny Machado,SDP,117,245,205,53,11,47.5%,12.9%,.259,.478,.220,15.1%,11.4%
92,Pete Alonso,NYM,138,285,239,55,21,48.9%,23.1%,.230,.527,.297,13.7%,20.0%
93,Michael Chavis,- - -,66,144,137,39,9,35.2%,28.1%,.285,.540,.255,4.2%,32.6%
94,Jorge Soler,- - -,107,235,200,44,18,50.4%,25.4%,.220,.520,.300,12.3%,25.5%
95,Miguel Rojas,MIA,98,223,196,58,5,33.3%,8.8%,.296,.444,.148,9.0%,11.7%
96,Yadiel Hernandez,WSN,71,123,115,35,4,25.9%,18.2%,.304,.478,.174,6.5%,23.6%
97,Jean Segura,PHI,110,236,213,63,8,28.8%,15.1%,.296,.479,.183,8.9%,12.3%
98,Dansby Swanson,ATL,117,237,210,56,11,38.8%,17.7%,.267,.500,.233,9.3%,21.9%
99,Jose Ramirez,CLE,135,303,274,76,14,48.5%,12.2%,.277,.504,.226,8.6%,12.5%
100,Eric Haase,DET,86,180,170,46,13,38.5%,28.9%,.271,.535,.265,5.0%,30.0%
101,Charlie Culberson,TEX,93,196,181,58,4,27.6%,10.0%,.320,.481,.160,4.1%,18.9%
102,Alec Bohm,PHI,109,231,208,62,6,30.6%,12.2%,.298,.476,.178,7.4%,22.5%
103,Starling Marte,- - -,112,252,233,68,9,28.7%,18.0%,.292,.472,.180,6.3%,22.6%
104,Bobby Dalbec,BOS,125,252,228,60,13,44.1%,20.3%,.263,.504,.241,7.5%,33.3%
105,Ryan Mountcastle,BAL,128,281,257,71,16,36.6%,22.9%,.276,.525,.249,6.8%,25.3%
106,Donovan Solano,- - -,66,136,125,38,5,30.8%,15.2%,.304,.480,.176,5.1%,14.0%
107,Mitch Garver,- - -,75,163,140,33,11,47.5%,22.9%,.236,.507,.271,11.7%,25.8%
108,Juan Soto,WSN,169,367,299,74,15,33.3%,19.0%,.247,.431,.184,16.9%,17.7%
109,Nelson Cruz,- - -,132,299,261,74,13,32.9%,18.8%,.284,.475,.192,9.4%,18.1%
110,Nathaniel Lowe,TEX,142,284,256,72,9,20.0%,24.3%,.281,.453,.172,9.9%,25.0%
111,Tom Murphy,SEA,84,185,151,36,8,36.0%,22.2%,.238,.430,.192,15.7%,28.1%
112,Yandy Diaz,TBR,134,297,260,74,8,33.3%,10.7%,.285,.442,.158,11.8%,12.5%
113,Jose Iglesias,- - -,114,240,226,70,5,30.6%,8.3%,.310,.456,.146,4.6%,12.5%
114,Pedro Severino,BAL,73,161,147,43,7,36.5%,16.7%,.293,.476,.184,7.5%,21.1%
115,Tyler Stephenson,CIN,97,194,170,50,5,31.9%,11.1%,.294,.441,.147,9.8%,16.5%
116,Ke'Bryan Hayes,PIT,95,210,192,58,3,28.3%,6.7%,.302,.443,.141,7.6%,16.2%
117,Luis Urias,MIL,104,192,164,42,9,40.4%,16.4%,.256,.463,.207,10.4%,16.1%
