Team,Ballpark,Date,Count,Starter HR,BP HR,Top 6 Profit,Lineup Profit,Weather,Time,Series Game,Opp,Starter,Starter Stats,HR1,Odds,HR2,Odds,HR3,Odds,HR4,Odds,HR5,Odds,HR6,Odds,HR7,Odds,HR8,Odds,HR9,Odds
MIA,Marlins Park,4/21/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
ARI,Nationals Park,4/21/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
OAK,Oakland Coliseum,4/21/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SEA,T-Mobile Park,4/21/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ARI,Chase Field,4/22/2022,2,,, $(60.00), $(90.00),75,,,,,,,,,,,,,,,,,,,,,,,
TOR,Minute Maid Park,4/22/2022,2,,, $(60.00), $(90.00),77,,,,,,,,,,,,,,,,,,,,,,,
TEX,Oakland Coliseum,4/22/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAD,Petco Park,4/22/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
TB,Tropicana Field,4/22/2022,2,,, $(60.00), $(90.00),72,,,,,,,,,,,,,,,,,,,,,,,
PIT,Wrigley Field,4/22/2022,2,,, $(60.00), $(90.00),54,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,4/22/2022,2,,, $(60.00), $(90.00),66,,,,,,,,,,,,,,,,,,,,,,,
LAA,Angel Stadium,4/23/2022,3,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
COL,Comerica Park,4/23/2022,2,,, $(60.00), $(90.00),141,,,,,,,,,,,,,,,,,,,,,,,
TOR,Minute Maid Park,4/23/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,4/23/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
SEA,T-Mobile Park,4/23/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
ATL,Truist Park,4/23/2022,3,,, $(60.00), $(90.00),77,,,,,,,,,,,,,,,,,,,,,,,
CLE,Yankee Stadium,4/23/2022,2,,, $(60.00), $(90.00),60,,,,,,,,,,,,,,,,,,,,,,,
BAL,Angel Stadium,4/24/2022,2,,, $(60.00), $(90.00),88,,,,,,,,,,,,,,,,,,,,,,,
HOU,Minute Maid Park,4/24/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
TOR,Minute Maid Park,4/24/2022,2,,, $(60.00), $(90.00),73,,,,,,,,,,,,,,,,,,,,,,,
SF,Nationals Park,4/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
LAD,Petco Park,4/24/2022,3,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
CWS,Target Field,4/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
MIN,Target Field,4/24/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
NYY,Yankee Stadium,4/24/2022,3,,, $(60.00), $(90.00),58,,,,,,,,,,,,,,,,,,,,,,,
SF,American Family Field,4/25/2022,2,,, $(60.00), $(90.00),0,,,,,,,,,,,,,,,,,,,,,,,
