player_id,player_name,PA,BIP,EV-Ovr,LA-OVR,FB,HR,HR/BIP,HH FB,HH HR,PA/HR,FB%,HHFB%,80thPctEV-OVR,PA-vLHP,BIP-vLHP,EV-vLHP,LA-vLHP,FB-vLHP,HR-vLHP,HH FB-vLHP,HH HR-vLHP,PA/HR-vLHP,FB%-vLHP,HHFB%-vLHP,80thPctEV-vLHP,PA-vRHP,BIP-vRHP,EV-vRHP,LA-vRHP,FB-vRHP,HR-vRHP,HH FB-vRHP,HH HR-vRHP,PA/HR-vRHP,FB%-vRHP,HHFB%-vRHP,80thPctEV-vRHP,EV-80thPct,HHFB-Pct,EV-80thPct-vLHP,HHFB-Pct-vLHP,EV-80thPct-vRHP,HHFB-Pct-vRHP
656555,"Hoskins, Rhys",384.0,238.0,90.37932489451478,18.362869198312236,79.0,19.0,0.07983193277310924,49.0,17.0,20.210526315789473,0.3319327731092437,0.20588235294117646,102.68,97.0,58.0,94.16315789473684,26.649122807017545,25.0,5.0,16.0,5.0,19.4,0.43103448275862066,0.27586206896551724,102.94,287.0,180.0,89.18111111111111,15.738888888888889,54.0,14.0,33.0,12.0,20.5,0.3,0.18333333333333332,102.5,0.7643097643097643,0.9461279461279462,0.7643097643097643,0.9823943661971831,0.7592592592592593,0.8787878787878788
621020,"Swanson, Dansby",394.0,258.0,90.09333333333333,16.647058823529413,82.0,15.0,0.05813953488372093,49.0,15.0,26.266666666666666,0.3178294573643411,0.18992248062015504,102.54,103.0,65.0,91.35692307692307,13.876923076923077,18.0,4.0,11.0,4.0,25.75,0.27692307692307694,0.16923076923076924,103.34,291.0,193.0,89.66105263157894,17.594736842105263,64.0,11.0,38.0,11.0,26.454545454545453,0.3316062176165803,0.19689119170984457,102.4,0.7474747474747475,0.9124579124579124,0.8097643097643098,0.7922535211267606,0.7407407407407407,0.9057239057239057
547989,"Abreu, José",394.0,289.0,92.46341463414635,9.975609756097562,81.0,11.0,0.03806228373702422,42.0,11.0,35.81818181818182,0.28027681660899656,0.1453287197231834,104.08,70.0,45.0,93.725,9.090909090909092,12.0,4.0,10.0,4.0,17.5,0.26666666666666666,0.2222222222222222,104.42,324.0,244.0,92.23497942386831,10.135802469135802,69.0,7.0,32.0,7.0,46.285714285714285,0.2827868852459016,0.13114754098360656,103.96000000000001,0.8939393939393939,0.7171717171717171,0.898989898989899,0.9454225352112676,0.8720538720538721,0.5841750841750841
543068,"Cron, C.J.",377.0,248.0,88.017004048583,14.221774193548388,69.0,21.0,0.0846774193548387,39.0,20.0,17.952380952380953,0.2782258064516129,0.15725806451612903,102.46000000000001,115.0,70.0,90.64927536231885,10.8,21.0,7.0,13.0,6.0,16.428571428571427,0.3,0.18571428571428572,103.34,262.0,178.0,86.99662921348315,15.567415730337078,48.0,14.0,26.0,14.0,18.714285714285715,0.2696629213483146,0.14606741573033707,101.96000000000001,0.7272727272727273,0.7912457912457912,0.8097643097643098,0.8697183098591549,0.6599326599326599,0.696969696969697
592450,"Judge, Aaron",379.0,240.0,95.70585774058577,13.158995815899582,84.0,33.0,0.1375,58.0,29.0,11.484848484848484,0.35,0.24166666666666667,107.94,109.0,61.0,95.98166666666665,14.066666666666666,19.0,9.0,15.0,8.0,12.11111111111111,0.3114754098360656,0.2459016393442623,108.08,270.0,179.0,95.61340782122905,12.854748603351956,65.0,24.0,43.0,21.0,11.25,0.36312849162011174,0.24022346368715083,107.78,0.9966329966329966,0.9797979797979798,0.98989898989899,0.954225352112676,0.9966329966329966,0.9730639730639731
624413,"Alonso, Pete",388.0,270.0,89.99513108614232,18.54681647940075,77.0,24.0,0.08888888888888889,39.0,20.0,16.166666666666668,0.2851851851851852,0.14444444444444443,105.30000000000001,99.0,65.0,88.79846153846154,19.50769230769231,20.0,6.0,6.0,5.0,16.5,0.3076923076923077,0.09230769230769231,103.92,289.0,205.0,90.38019801980198,18.237623762376238,57.0,18.0,33.0,15.0,16.055555555555557,0.2780487804878049,0.16097560975609757,106.66000000000001,0.9461279461279462,0.7104377104377104,0.8787878787878788,0.3908450704225352,0.9865319865319865,0.7929292929292929
677594,"Rodríguez, Julio",377.0,245.0,92.04814814814816,10.135245901639344,55.0,16.0,0.0653061224489796,38.0,15.0,23.5625,0.22448979591836735,0.15510204081632653,105.8,89.0,51.0,92.75882352941176,13.96078431372549,14.0,5.0,9.0,5.0,17.8,0.27450980392156865,0.17647058823529413,107.4,288.0,194.0,91.859375,9.124352331606218,41.0,11.0,29.0,10.0,26.181818181818183,0.211340206185567,0.14948453608247422,104.88000000000001,0.9696969696969697,0.7777777777777778,0.9797979797979798,0.8327464788732394,0.936026936026936,0.7171717171717171
660271,"Ohtani, Shohei",373.0,243.0,92.41535269709543,11.647302904564315,70.0,19.0,0.07818930041152264,46.0,18.0,19.63157894736842,0.2880658436213992,0.18930041152263374,105.7,135.0,86.0,90.58,10.211764705882352,15.0,3.0,8.0,3.0,45.0,0.1744186046511628,0.09302325581395349,103.46,238.0,157.0,93.41538461538461,12.429487179487179,55.0,16.0,38.0,15.0,14.875,0.3503184713375796,0.24203821656050956,106.3,0.9612794612794613,0.9040404040404041,0.8316498316498316,0.4014084507042254,0.9797979797979798,0.9764309764309764
646240,"Devers, Rafael",369.0,277.0,93.29890909090909,11.130434782608695,68.0,22.0,0.07942238267148015,39.0,21.0,16.772727272727273,0.24548736462093862,0.1407942238267148,105.84,102.0,72.0,90.84084507042253,7.211267605633803,13.0,4.0,6.0,4.0,25.5,0.18055555555555555,0.08333333333333333,105.0,267.0,205.0,94.15441176470588,12.487804878048781,55.0,18.0,33.0,17.0,14.833333333333334,0.2682926829268293,0.16097560975609757,106.03999999999999,0.9730639730639731,0.6936026936026936,0.9225589225589226,0.29401408450704225,0.9764309764309764,0.7929292929292929
608369,"Seager, Corey",383.0,288.0,91.3112676056338,14.83157894736842,94.0,22.0,0.0763888888888889,49.0,20.0,17.40909090909091,0.3263888888888889,0.1701388888888889,103.03999999999999,112.0,84.0,88.23902439024391,11.349397590361447,28.0,9.0,14.0,8.0,12.444444444444445,0.3333333333333333,0.16666666666666666,101.64,271.0,204.0,92.55841584158415,16.262376237623762,66.0,13.0,35.0,12.0,20.846153846153847,0.3235294117647059,0.1715686274509804,103.5,0.8080808080808081,0.8417508417508418,0.6195286195286195,0.7869718309859155,0.8434343434343434,0.8316498316498316
542303,"Ozuna, Marcell",370.0,260.0,89.895703125,15.3515625,81.0,17.0,0.06538461538461539,46.0,16.0,21.764705882352942,0.31153846153846154,0.17692307692307693,104.5,104.0,69.0,85.78088235294118,10.132352941176471,13.0,1.0,4.0,1.0,104.0,0.18840579710144928,0.057971014492753624,99.74000000000001,266.0,191.0,91.38404255319149,17.23936170212766,68.0,16.0,42.0,15.0,16.625,0.35602094240837695,0.2198952879581152,104.86,0.9208754208754208,0.8686868686868687,0.4208754208754209,0.1443661971830986,0.9326599326599326,0.9461279461279462
668227,"Arozarena, Randy",367.0,246.0,90.75632653061224,6.7926829268292686,48.0,12.0,0.04878048780487805,22.0,11.0,30.583333333333332,0.1951219512195122,0.08943089430894309,103.4,73.0,53.0,91.42075471698114,10.584905660377359,15.0,2.0,4.0,2.0,36.5,0.2830188679245283,0.07547169811320754,103.4,294.0,193.0,90.57291666666667,5.751295336787565,33.0,10.0,18.0,9.0,29.4,0.17098445595854922,0.09326424870466321,103.4,0.835016835016835,0.2727272727272727,0.8249158249158249,0.22535211267605634,0.8282828282828283,0.3063973063973064
572233,"Walker, Christian",366.0,243.0,89.93858921161826,16.855371900826448,86.0,22.0,0.09053497942386832,46.0,20.0,16.636363636363637,0.35390946502057613,0.18930041152263374,102.7,88.0,65.0,90.74923076923076,16.953846153846154,22.0,5.0,13.0,5.0,17.6,0.3384615384615385,0.2,103.02,278.0,178.0,89.63920454545455,16.819209039548024,64.0,17.0,33.0,15.0,16.352941176470587,0.3595505617977528,0.1853932584269663,102.5,0.7744107744107744,0.9040404040404041,0.7744107744107744,0.9066901408450704,0.7592592592592593,0.8855218855218855
666969,"García, Adolis",368.0,241.0,91.56835443037976,14.215189873417721,59.0,15.0,0.06224066390041494,37.0,14.0,24.533333333333335,0.24481327800829875,0.15352697095435686,103.06,97.0,59.0,90.81206896551724,13.172413793103448,15.0,4.0,8.0,4.0,24.25,0.2542372881355932,0.13559322033898305,103.34,271.0,182.0,91.81340782122905,14.553072625698324,44.0,11.0,29.0,10.0,24.636363636363637,0.24175824175824176,0.15934065934065933,102.98,0.8114478114478114,0.7710437710437711,0.8097643097643098,0.6637323943661971,0.797979797979798,0.7744107744107744
623993,"Santander, Anthony",357.0,250.0,89.37309236947792,20.522088353413654,65.0,15.0,0.06,33.0,13.0,23.8,0.26,0.132,102.4,111.0,75.0,89.61216216216216,14.054054054054054,20.0,4.0,13.0,4.0,27.75,0.26666666666666666,0.17333333333333334,101.94,246.0,175.0,89.272,23.257142857142856,45.0,11.0,20.0,9.0,22.363636363636363,0.2571428571428571,0.11428571428571428,102.66,0.7154882154882155,0.6430976430976431,0.6397306397306397,0.8151408450704225,0.7744107744107744,0.4713804713804714
621550,"Wisdom, Patrick",351.0,186.0,91.46304347826087,20.60326086956522,60.0,16.0,0.08602150537634409,40.0,13.0,21.9375,0.3225806451612903,0.21505376344086022,104.08,92.0,51.0,91.62,18.18,13.0,4.0,10.0,4.0,23.0,0.2549019607843137,0.19607843137254902,105.8,259.0,135.0,91.40447761194031,21.507462686567163,47.0,12.0,30.0,9.0,21.583333333333332,0.34814814814814815,0.2222222222222222,103.16000000000001,0.8939393939393939,0.9663299663299664,0.9478114478114478,0.897887323943662,0.8181818181818182,0.9494949494949495
443558,"Cruz, Nelson",350.0,233.0,90.73056768558952,7.056521739130435,47.0,8.0,0.034334763948497854,31.0,7.0,43.75,0.2017167381974249,0.13304721030042918,103.0,114.0,80.0,89.3525641025641,6.217948717948718,18.0,3.0,11.0,3.0,38.0,0.225,0.1375,101.9,236.0,153.0,91.44238410596026,7.4868421052631575,29.0,5.0,20.0,4.0,47.2,0.1895424836601307,0.13071895424836602,103.4,0.803030303030303,0.6498316498316499,0.6363636363636364,0.6725352112676056,0.8282828282828283,0.5757575757575758
