player_id,player_name,TBF,BIP,EV-OVR,LA-OVR,FB,HR,HH FB,HH HR,TBF/HR,FB%,HHFB%,80thPctEV-OVR,TBF-vLHH,BIP-vLHH,EV-vLHH,LA-vLHH,FB-vLHH,HR-vLHH,K-vLHH,HH FB-vLHH,HH HR-vLHH,TBF/HR-vLHH,FB%-vLHH,HHFB%-vLHH,K%-vsLHH,80thPctEV-vLHH,TBF-vRHH,BIP-vRHH,EV-vRHH,LA-vRHH,FB-vRHH,HR-vRHH,K-vRHH,HH FB-vRHH,HH HR-vRHH,PA/HR-vRHH,FB%-vRHH,HHFB%-vRHH,K%-vsRHH,80thPctEV-vRHH
669804,"De Jesus, Angel",50,37,92.37837837837837,20.945945945945947,13.0,2.0,7.0,2.0,25.0,0.35135135135135137,0.1891891891891892,103.62,15.0,11.0,90.04545454545455,30.90909090909091,6.0,1.0,1.0,4.0,1.0,15.0,0.5454545454545454,0.36363636363636365,0.06666666666666667,97.9,35.0,26.0,93.36538461538461,16.73076923076923,7.0,1.0,6.0,3.0,1.0,35.0,0.2692307692307692,0.11538461538461539,0.17142857142857143,104.7
643400,"Knight, Dusten",43,33,87.2625,16.181818181818183,9.0,4.0,6.0,4.0,10.75,0.2727272727272727,0.18181818181818182,100.25999999999999,10.0,7.0,82.60000000000001,17.714285714285715,3.0,1.0,3.0,2.0,1.0,10.0,0.42857142857142855,0.2857142857142857,0.3,100.1,33.0,26.0,88.33846153846154,15.76923076923077,6.0,3.0,5.0,4.0,3.0,11.0,0.23076923076923078,0.15384615384615385,0.15151515151515152,100.3
676720,"Romero, Tommy",44,28,94.46785714285714,21.107142857142858,11.0,7.0,9.0,6.0,6.285714285714286,0.39285714285714285,0.32142857142857145,105.26,22.0,14.0,94.62857142857142,25.5,7.0,5.0,3.0,6.0,5.0,4.4,0.5,0.42857142857142855,0.13636363636363635,104.60000000000001,22.0,14.0,94.30714285714285,16.714285714285715,4.0,2.0,4.0,3.0,1.0,11.0,0.2857142857142857,0.21428571428571427,0.18181818181818182,105.53999999999999
657424,"Gage, Matt",44,28,86.5,14.071428571428571,7.0,1.0,3.0,1.0,44.0,0.25,0.10714285714285714,97.66,12.0,5.0,75.62,-3.6,1.0,,3.0,,,,0.2,,0.25,84.92,32.0,23.0,88.86521739130436,17.91304347826087,6.0,1.0,8.0,3.0,1.0,32.0,0.2608695652173913,0.13043478260869565,0.25,98.68
592848,"Weiss, Zack",45,24,86.6375,18.208333333333332,8.0,2.0,3.0,2.0,22.5,0.3333333333333333,0.125,98.80000000000001,18.0,11.0,85.2090909090909,16.818181818181817,3.0,1.0,4.0,1.0,1.0,18.0,0.2727272727272727,0.09090909090909091,0.2222222222222222,96.9,27.0,13.0,87.84615384615384,19.384615384615383,5.0,1.0,11.0,2.0,1.0,27.0,0.38461538461538464,0.15384615384615385,0.4074074074074074,99.82
650382,"Hernandez, Darwinzon",38,21,93.62857142857143,16.857142857142858,8.0,4.0,5.0,3.0,9.5,0.38095238095238093,0.23809523809523808,104.5,13.0,6.0,96.25,6.5,2.0,1.0,3.0,1.0,1.0,13.0,0.3333333333333333,0.16666666666666666,0.23076923076923078,104.6,25.0,15.0,92.58,21.0,6.0,3.0,4.0,4.0,2.0,8.333333333333334,0.4,0.26666666666666666,0.16,104.26
678692,"Henriquez, Ronny",50,36,88.58333333333333,8.0,12.0,1.0,6.0,1.0,50.0,0.3333333333333333,0.16666666666666666,100.2,25.0,19.0,86.60526315789474,-0.7368421052631579,3.0,,4.0,,,,0.15789473684210525,,0.16,97.32000000000001,25.0,17.0,90.79411764705883,17.764705882352942,9.0,1.0,5.0,6.0,1.0,25.0,0.5294117647058824,0.35294117647058826,0.2,99.66000000000001
655889,"Rodríguez, Manuel",51,36,80.55714285714286,5.314285714285714,6.0,1.0,2.0,1.0,51.0,0.16666666666666666,0.05555555555555555,97.0,11.0,6.0,90.18333333333334,12.5,2.0,1.0,1.0,1.0,1.0,11.0,0.3333333333333333,0.16666666666666666,0.09090909090909091,98.5,40.0,30.0,78.56551724137931,3.8275862068965516,4.0,,7.0,1.0,,,0.13333333333333333,0.03333333333333333,0.175,91.78000000000002
681799,"Roberts, Ethan",37,21,88.38095238095238,14.952380952380953,5.0,3.0,5.0,3.0,12.333333333333334,0.23809523809523808,0.23809523809523808,104.1,11.0,6.0,85.64999999999999,5.0,1.0,,1.0,1.0,,,0.16666666666666666,0.16666666666666666,0.09090909090909091,99.5,26.0,15.0,89.47333333333333,18.933333333333334,4.0,3.0,8.0,4.0,3.0,8.666666666666666,0.26666666666666666,0.26666666666666666,0.3076923076923077,106.06
573668,"Minaya, Juan",43,25,89.12,5.16,7.0,,3.0,,,0.28,0.12,97.04,16.0,11.0,90.9090909090909,-2.090909090909091,4.0,,3.0,1.0,,,0.36363636363636365,0.09090909090909091,0.1875,95.9,27.0,14.0,87.71428571428571,10.857142857142858,3.0,,7.0,2.0,,,0.21428571428571427,0.14285714285714285,0.25925925925925924,98.80000000000001
667465,"Fletcher, Aaron",49,37,91.24166666666666,14.13888888888889,13.0,2.0,7.0,1.0,24.5,0.35135135135135137,0.1891891891891892,102.4,20.0,15.0,88.30714285714285,5.571428571428571,3.0,,1.0,1.0,,,0.2,0.06666666666666667,0.05,102.28,29.0,22.0,93.10909090909091,19.59090909090909,10.0,2.0,4.0,6.0,1.0,14.5,0.45454545454545453,0.2727272727272727,0.13793103448275862,103.1
