player_id,player_name,TBF,BIP,EV-OVR,LA-OVR,FB,HR,HH FB,HH HR,TBF/HR,FB%,HHFB%,80thPctEV-OVR,TBF-vLHH,BIP-vLHH,EV-vLHH,LA-vLHH,FB-vLHH,HR-vLHH,HH FB-vLHH,HH HR-vLHH,TBF/HR-vLHH,FB%-vLHH,HHFB%-vLHH,80thPctEV-vLHH,TBF-vRHH,BIP-vRHH,EV-vRHH,LA-vRHH,FB-vRHH,HR-vRHH,HH FB-vRHH,HH HR-vRHH,PA/HR-vRHH,FB%-vRHH,HHFB%-vRHH,80thPctEV-vRHH,EV-Pct,HHFB-Pct
542881,"Anderson, Tyler",384,282,85.19087591240876,16.17153284671533,78.0,9.0,35.0,9.0,42.666666666666664,0.2765957446808511,0.12411347517730496,98.14,76.0,52.0,80.80784313725489,8.823529411764707,10.0,2.0,6.0,2.0,38.0,0.19230769230769232,0.11538461538461539,97.8,308.0,230.0,86.19327354260089,17.85201793721973,68.0,7.0,29.0,7.0,44.0,0.2956521739130435,0.12608695652173912,98.7,0.020134228187919462,0.6375838926174496
668676,"Plesac, Zach",401,305,89.96875,12.019736842105264,83.0,12.0,47.0,11.0,33.416666666666664,0.2721311475409836,0.1540983606557377,102.1,197.0,155.0,90.01225806451613,15.754838709677419,47.0,8.0,25.0,7.0,24.625,0.3032258064516129,0.16129032258064516,101.44,204.0,150.0,89.92348993288591,8.134228187919463,36.0,4.0,22.0,4.0,51.0,0.24,0.14666666666666667,102.7,0.8456375838926175,0.8557046979865772
543294,"Hendricks, Kyle",355,262,87.105,16.134615384615383,73.0,15.0,34.0,14.0,23.666666666666668,0.2786259541984733,0.1297709923664122,100.2,191.0,136.0,89.6511111111111,18.644444444444446,46.0,12.0,23.0,11.0,15.916666666666666,0.3382352941176471,0.16911764705882354,101.34,164.0,126.0,84.3552,13.424,27.0,3.0,11.0,3.0,54.666666666666664,0.21428571428571427,0.0873015873015873,98.96000000000001,0.19463087248322147,0.697986577181208
641778,"Lauer, Eric",398,263,87.98702290076335,17.9467680608365,80.0,19.0,39.0,17.0,20.94736842105263,0.3041825095057034,0.1482889733840304,100.3,58.0,35.0,86.14,9.314285714285715,10.0,2.0,3.0,2.0,29.0,0.2857142857142857,0.08571428571428572,102.32000000000001,340.0,228.0,88.27180616740088,19.271929824561404,70.0,17.0,36.0,15.0,20.0,0.30701754385964913,0.15789473684210525,100.28,0.40268456375838924,0.8053691275167785
608337,"Giolito, Lucas",375,241,88.98464730290456,15.232365145228215,81.0,16.0,36.0,15.0,23.4375,0.3360995850622407,0.14937759336099585,101.9,153.0,88.0,86.84772727272728,15.261363636363637,32.0,3.0,12.0,3.0,51.0,0.36363636363636365,0.13636363636363635,100.18,222.0,153.0,90.21372549019608,15.215686274509803,49.0,13.0,24.0,12.0,17.076923076923077,0.3202614379084967,0.1568627450980392,103.1,0.6711409395973155,0.8187919463087249
608344,"Irvin, Cole",384,302,89.36059602649007,14.897350993377483,87.0,11.0,47.0,11.0,34.90909090909091,0.28807947019867547,0.15562913907284767,100.5,83.0,67.0,86.65820895522388,12.17910447761194,15.0,2.0,7.0,2.0,41.5,0.22388059701492538,0.1044776119402985,98.8,301.0,235.0,90.13106382978724,15.672340425531916,72.0,9.0,40.0,9.0,33.44444444444444,0.30638297872340425,0.1702127659574468,100.74000000000001,0.738255033557047,0.8791946308724832
622663,"Severino, Luis",349,225,88.14954954954955,10.547085201793722,61.0,14.0,33.0,13.0,24.928571428571427,0.27111111111111114,0.14666666666666667,100.36000000000001,146.0,111.0,88.77999999999999,14.236363636363636,36.0,8.0,21.0,8.0,18.25,0.32432432432432434,0.1891891891891892,99.88,203.0,114.0,87.53035714285714,6.95575221238938,25.0,6.0,12.0,5.0,33.833333333333336,0.21929824561403508,0.10526315789473684,101.0,0.4429530201342282,0.7986577181208053
677651,"Garcia, Luis",359,240,88.45864978902954,17.206751054852322,77.0,15.0,40.0,13.0,23.933333333333334,0.32083333333333336,0.16666666666666666,100.16000000000001,168.0,111.0,87.84454545454545,16.19090909090909,34.0,7.0,16.0,5.0,24.0,0.3063063063063063,0.14414414414414414,99.92,191.0,129.0,88.99055118110236,18.086614173228348,43.0,8.0,24.0,8.0,23.875,0.3333333333333333,0.18604651162790697,100.53999999999999,0.5436241610738255,0.9261744966442953
446372,"Kluber, Corey",384,281,86.86975088967972,18.508896797153024,77.0,10.0,37.0,10.0,38.4,0.27402135231316727,0.13167259786476868,100.4,175.0,126.0,86.3484126984127,19.666666666666668,35.0,3.0,14.0,3.0,58.333333333333336,0.2777777777777778,0.1111111111111111,99.9,209.0,155.0,87.29354838709678,17.56774193548387,42.0,7.0,23.0,7.0,29.857142857142858,0.2709677419354839,0.14838709677419354,100.94,0.174496644295302,0.7248322147651006
596295,"Gomber, Austin",382,288,87.20592334494773,11.456445993031359,85.0,14.0,37.0,13.0,27.285714285714285,0.2951388888888889,0.1284722222222222,100.3,87.0,63.0,87.20645161290322,18.016129032258064,20.0,1.0,6.0,1.0,87.0,0.31746031746031744,0.09523809523809523,99.2,295.0,225.0,87.20577777777777,9.648888888888889,65.0,13.0,31.0,12.0,22.692307692307693,0.28888888888888886,0.13777777777777778,101.14,0.2214765100671141,0.6845637583892618
605200,"Davies, Zach",330,240,85.8325,13.645833333333334,66.0,10.0,30.0,9.0,33.0,0.275,0.125,100.4,163.0,132.0,84.52878787878787,11.431818181818182,33.0,4.0,17.0,4.0,40.75,0.25,0.12878787878787878,97.1,167.0,108.0,87.42592592592592,16.35185185185185,33.0,6.0,13.0,5.0,27.833333333333332,0.3055555555555556,0.12037037037037036,101.26,0.040268456375838924,0.6543624161073825
669330,"Wells, Tyler",342,260,87.29370078740156,19.64566929133858,72.0,10.0,34.0,10.0,34.2,0.27692307692307694,0.13076923076923078,100.5,154.0,114.0,85.12636363636364,19.12727272727273,28.0,4.0,13.0,4.0,38.5,0.24561403508771928,0.11403508771929824,97.82000000000001,188.0,146.0,88.94930555555555,20.041666666666668,44.0,6.0,21.0,6.0,31.333333333333332,0.3013698630136986,0.14383561643835616,101.3,0.24161073825503357,0.7046979865771812
689225,"Brieske, Beau",339,259,88.59186046511628,17.027131782945737,81.0,14.0,41.0,14.0,24.214285714285715,0.3127413127413127,0.1583011583011583,101.76,150.0,111.0,86.63545454545454,18.736363636363638,35.0,4.0,13.0,4.0,37.5,0.3153153153153153,0.11711711711711711,100.14,189.0,148.0,90.04594594594595,15.756756756756756,46.0,10.0,28.0,10.0,18.9,0.3108108108108108,0.1891891891891892,102.26,0.5838926174496645,0.8926174496644296
624522,"Thompson, Keegan",339,228,88.18744394618834,12.210762331838565,64.0,7.0,33.0,7.0,48.42857142857143,0.2807017543859649,0.14473684210526316,100.86,153.0,97.0,87.10515463917527,12.587628865979381,26.0,1.0,13.0,1.0,153.0,0.26804123711340205,0.13402061855670103,97.82000000000001,186.0,131.0,89.02063492063492,11.920634920634921,38.0,6.0,20.0,6.0,31.0,0.2900763358778626,0.15267175572519084,102.4,0.46308724832214765,0.7919463087248322
656629,"Kopech, Michael",342,224,89.74887892376681,20.96412556053812,88.0,10.0,38.0,10.0,34.2,0.39285714285714285,0.16964285714285715,100.48,152.0,87.0,89.76206896551724,27.448275862068964,42.0,5.0,19.0,5.0,30.4,0.4827586206896552,0.21839080459770116,100.03999999999999,190.0,137.0,89.7404411764706,16.816176470588236,46.0,5.0,19.0,5.0,38.0,0.3357664233576642,0.1386861313868613,100.6,0.8053691275167785,0.9328859060402684
664299,"Javier, Cristian",317,171,87.31461988304093,24.391812865497077,72.0,8.0,31.0,8.0,39.625,0.42105263157894735,0.18128654970760233,99.5,172.0,104.0,86.04423076923078,23.432692307692307,38.0,4.0,14.0,4.0,43.0,0.36538461538461536,0.1346153846153846,97.84,145.0,67.0,89.2865671641791,25.880597014925375,34.0,4.0,17.0,4.0,36.25,0.5074626865671642,0.2537313432835821,101.18,0.2483221476510067,0.9664429530201343
448179,"Hill, Rich",298,214,87.98726415094339,14.79245283018868,57.0,8.0,29.0,8.0,37.25,0.26635514018691586,0.13551401869158877,100.36000000000001,42.0,27.0,83.33333333333333,19.37037037037037,7.0,1.0,3.0,1.0,42.0,0.25925925925925924,0.1111111111111111,99.9,256.0,187.0,88.66648648648648,14.124324324324323,50.0,7.0,26.0,7.0,36.57142857142857,0.26737967914438504,0.13903743315508021,100.30000000000001,0.40939597315436244,0.7449664429530202
579328,"Kikuchi, Yusei",292,173,92.63684210526316,9.222222222222221,41.0,14.0,31.0,13.0,20.857142857142858,0.23699421965317918,0.1791907514450867,104.2,56.0,40.0,88.90512820512821,6.846153846153846,9.0,2.0,7.0,2.0,28.0,0.225,0.175,102.50000000000001,236.0,133.0,93.73939393939395,9.924242424242424,32.0,12.0,24.0,11.0,19.666666666666668,0.24060150375939848,0.18045112781954886,104.28,1.0,0.959731543624161
