MLBID,t2,t4,t7,t11,t39,HR_hat,,,,,,,,,,,,,,,,,,,,,
455117,1.158,16.00,0.1129,100.24,86.04,0.090886315,,,,,,,,,,,,,,,,,,,,,
643289,1.158,16.29,0.0484,97.74,86.04,0.074037848,,,,,,,,,,,,,,,,,,,,,
641820,1.158,12.53,0.0265,100.48,86.04,0.167004062,,,,,,,,,,,,,,,,,,,,,
670541,1.106,12.01,0.0918,106.52,87.47,0.078784418,,,,,,,,,,,,,,,,,,,,,
493329,1.158,19.79,0.0233,99.44,86.04,0.121861371,,,,,,,,,,,,,,,,,,,,,
623205,1.026,8.25,0.0560,98.82,90.25,0.10723899,,,,,,,,,,,,,,,,,,,,,
664058,1.026,12.95,0.0094,91.24,90.25,0.094771067,,,,,,,,,,,,,,,,,,,,,
666176,1.026,11.99,0.0649,103.92,90.25,0.118637769,,,,,,,,,,,,,,,,,,,,,
650859,1.273,8.53,0.0198,101.50,87.99,0.172451661,,,,,,,,,,,,,,,,,,,,,
545358,1.026,10.12,0.0588,100.14,90.25,0.105112107,,,,,,,,,,,,,,,,,,,,,
545361,1.026,27.80,0.1404,105.92,90.25,0.115847431,,,,,,,,,,,,,,,,,,,,,
660271,1.273,11.97,0.1030,104.46,87.99,0.206317602,,,,,,,,,,,,,,,,,,,,,
621493,1.026,15.94,0.0563,100.10,90.25,0.248481343,,,,,,,,,,,,,,,,,,,,,
605131,1.141,6.88,0.0541,100.68,88.98,0.06677412,,,,,,,,,,,,,,,,,,,,,
621035,1.141,21.88,0.0444,101.00,88.98,0.186412596,,,,,,,,,,,,,,,,,,,,,
641355,0.999,20.91,0.0725,100.02,87.29,0.12487113,,,,,,,,,,,,,,,,,,,,,
518692,0.999,15.40,0.0398,100.60,87.29,0.109477726,,,,,,,,,,,,,,,,,,,,,
666158,0.999,7.88,0.0225,98.52,87.29,0.042727329,,,,,,,,,,,,,,,,,,,,,
608336,0.999,25.04,0.0938,99.00,87.29,0.076323991,,,,,,,,,,,,,,,,,,,,,
457759,1.141,19.20,0.0290,100.88,88.98,0.169638681,,,,,,,,,,,,,,,,,,,,,
571970,0.999,23.53,0.0628,100.60,87.29,,,,,,,,,,,,,,,,,,,,,,
605141,1.141,18.08,0.0799,101.78,88.98,0.128266154,,,,,,,,,,,,,,,,,,,,,
607208,1.141,8.55,0.0270,102.96,88.98,0.060421295,,,,,,,,,,,,,,,,,,,,,
669257,1.141,18.70,0.0651,99.24,88.98,0.061551321,,,,,,,,,,,,,,,,,,,,,
541645,1.119,7.09,0.0556,102.56,89.69,0.168990289,,,,,,,,,,,,,,,,,,,,,
605119,1.119,13.88,0.0857,101.90,89.69,0.097676605,,,,,,,,,,,,,,,,,,,,,
643265,1.119,13.68,0.0000,103.00,89.69,0.094226206,,,,,,,,,,,,,,,,,,,,,
607732,1.119,15.56,0.0000,97.60,89.69,0.108510665,,,,,,,,,,,,,,,,,,,,,
621563,1.064,-3.95,0.0000,98.92,87.34,0.065390069,,,,,,,,,,,,,,,,,,,,,
542932,1.119,2.95,0.0227,101.16,89.69,0.130395794,,,,,,,,,,,,,,,,,,,,,
500743,1.119,12.24,0.0111,97.20,89.69,0.080033596,,,,,,,,,,,,,,,,,,,,,
663743,1.119,18.45,0.0789,101.50,89.69,0.21095764,,,,,,,,,,,,,,,,,,,,,
621043,1.056,10.26,0.0522,104.42,90.03,0.096001664,,,,,,,,,,,,,,,,,,,,,
596142,1.056,13.14,0.0625,103.60,90.03,0.068780342,,,,,,,,,,,,,,,,,,,,,
665482,1.056,-2.64,0.0106,99.28,90.03,0.12123413,,,,,,,,,,,,,,,,,,,,,
570482,1.056,12.25,0.0455,102.98,90.03,0.185338821,,,,,,,,,,,,,,,,,,,,,
593871,1.139,19.98,0.0795,100.04,89.82,0.07053879,,,,,,,,,,,,,,,,,,,,,
669304,1.056,13.29,0.0287,100.28,90.03,0.181722336,,,,,,,,,,,,,,,,,,,,,
650333,1.139,13.71,0.0186,95.02,89.82,0.136943436,,,,,,,,,,,,,,,,,,,,,
596146,1.139,12.08,0.0317,99.82,89.82,0.121205897,,,,,,,,,,,,,,,,,,,,,
624503,1.139,13.70,0.0282,96.34,89.82,0.121015514,,,,,,,,,,,,,,,,,,,,,
607043,0.929,7.40,0.0336,102.42,87.04,0.121615048,,,,,,,,,,,,,,,,,,,,,
596129,0.929,17.95,0.0791,97.20,87.04,0.132752053,,,,,,,,,,,,,,,,,,,,,
573131,0.799,13.61,0.0200,101.84,88.01,0.127263716,,,,,,,,,,,,,,,,,,,,,
500871,0.929,21.49,0.0357,101.42,87.04,0.135212412,,,,,,,,,,,,,,,,,,,,,
596019,0.929,14.48,0.0519,100.50,87.04,0.096994338,,,,,,,,,,,,,,,,,,,,,
643446,0.929,11.92,0.0221,95.36,87.04,0.041034978,,,,,,,,,,,,,,,,,,,,,
592192,0.799,9.57,0.0323,97.68,88.01,0.064238266,,,,,,,,,,,,,,,,,,,,,
624413,0.799,18.14,0.0814,103.74,88.01,0.193212472,,,,,,,,,,,,,,,,,,,,,
516782,0.799,6.56,0.0340,102.30,88.01,0.183812656,,,,,,,,,,,,,,,,,,,,,
621512,0.799,5.11,0.0000,101.14,88.01,0.111833698,,,,,,,,,,,,,,,,,,,,,
571980,0.929,16.34,0.0625,103.74,87.04,0.138479261,,,,,,,,,,,,,,,,,,,,,
543305,1.139,15.73,0.0227,102.18,88.57,0.0898425,,,,,,,,,,,,,,,,,,,,,
592450,1.056,15.26,0.1571,109.00,87.97,0.153934382,,,,,,,,,,,,,,,,,,,,,
519203,1.139,21.96,0.0889,100.64,88.57,0.148829196,,,,,,,,,,,,,,,,,,,,,
518934,1.056,2.08,0.0289,99.58,87.97,0.051567421,,,,,,,,,,,,,,,,,,,,,
519317,1.056,9.11,0.1173,109.16,87.97,0.071460381,,,,,,,,,,,,,,,,,,,,,
650402,1.056,17.25,0.0390,102.70,87.97,0.106344757,,,,,,,,,,,,,,,,,,,,,
643396,1.056,5.49,0.0076,98.08,87.97,0.098426425,,,,,,,,,,,,,,,,,,,,,
