player_id,player_name
608678,"Leone, Dominic"
571670,"Floro, Dylan"
670280,"Bednar, David"
548384,"Raley, Brooks"
628708,"Marte, Yunior"
650895,"Castillo, Diego"
544727,"Familia, Jeurys"
543272,"Hand, Brad"
593974,"Peralta, Wandy"
681806,"Wantz, Andrew"
664123,"Effross, Scott"
622554,"Domínguez, Seranthony"
517008,"Colomé, Alex"
669424,"Lambert, Jimmy"
656458,"Gilbreath, Lucas"
608349,"Knebel, Corey"
663158,"Suarez, Robert"
607237,"Garrett, Amir"
643493,"Pruitt, Austin"
468504,"Chacín, Jhoulys"
600917,"Leclerc, José"
650633,"King, Michael"
693821,"Elder, Bryce"
656730,"Megill, Trevor"
641927,"Ober, Bailey"
641582,"Foster, Matt"
656731,"Megill, Tylor"
669912,"Snead, Kirby"
542947,"Bleier, Richard"
622098,"Smith, Drew"
641793,"Littell, Zack"
676760,"Marinaccio, Ron"
676265,"Abbott, Cory"
669276,"Lee, Dylan"
621381,"Strahm, Matt"
656685,"Martin, Brett"
605538,"Wisler, Matt"
667463,"King, John"
642528,"Loáisiga, Jonathan"
528748,"Castellanos, Humberto"
664875,"Lawrence, Justin"
608648,"Duffey, Tyler"
680704,"Sandlin, Nick"
669674,"Long, Sam"
641627,"Gott, Trevor"
686752,"Pepiot, Ryan"
667297,"Nance, Tommy"
594580,"Moll, Sam"
650893,"Cabrera, Génesis"
622251,"Staumont, Josh"
501381,"Pineda, Michael"
656234,"Bird, Jake"
657612,"Hill, Tim"
605194,"Cotton, Jharel"
572070,"Richards, Garrett"
666142,"Ragans, Cole"
641835,"Mayza, Tim"
607179,"Weems, Jordan"
596133,"Weaver, Luke"
523260,"Kelly, Joe"
656061,"Abreu, Albert"
666721,"Castillo, Max"
519151,"Pressly, Ryan"
503449,"Peralta, Wily"
675921,"Howard, Spencer"
641401,"Brogdon, Connor"
621016,"Cuas, Jose"
675916,"Karinchak, James"
661269,"Gutierrez, Vladimir"
674072,"Henry, Tommy"
657044,"Thompson, Ryan"
644364,"Arano, Víctor"
544365,"Bañuelos, Manny"
664139,"Gibaut, Ian"
554431,"Matzek, Tyler"
598264,"Barnes, Matt"
663765,"Woodford, Jake"
621121,"McCullers Jr., Lance"
547973,"Chapman, Aroldis"
641501,"Danish, Tyler"
650911,"Sánchez, Cristopher"
621389,"Blach, Ty"
660813,"Graterol, Brusdar"
664161,"Swarmer, Matt"
650671,"Quijada, José"
605521,"Warren, Art"
663558,"Moran, Jovani"
656427,"Flaherty, Jack"
663423,"Thornton, Trent"
596071,"Peters, Dillon"
489334,"Stammen, Craig"
459429,"McGee, Jake"
640451,"Harvey, Hunter"
606625,"Moronta, Reyes"
642121,"Sulser, Cole"
664294,"Moreta, Dauri"
657649,"Koenig, Jared"
641726,"Jefferies, Daulton"
623211,"Brazoban, Huascar"
670990,"Ramirez, Yohan"
665871,"Assad, Javier"
456034,"Price, David"
657265,"Strzelecki, Peter"
669459,"Nelson, Kyle"
661527,"Martinez, Seth"
641447,"Castano, Daniel"
676596,"Fleming, Josh"
661383,"Ortega, Oliver"
489119,"Miley, Wade"
656457,"Gilbert, Tyler"
676092,"Snider, Collin"
676050,"Naughton, Packy"
668868,"Thompson, Zack"
659275,"Lamet, Dinelson"
669461,"Liberatore, Matthew"
666214,"Wentz, Joey"
656794,"Newcomb, Sean"
607455,"Banda, Anthony"
668948,"McCarty, Kirk"
545343,"Head, Louis"
663485,"Sands, Cole"
643290,"Dunn, Justin"
666204,"Jiménez, Dany"
647315,"Pop, Zach"
669618,"Barlow, Joe"
657571,"Ferguson, Caleb"
672391,"Ort, Kaleb"
663432,"Rainey, Tanner"
621248,"Garza Jr., Ralph"
670970,"Morejon, Adrian"
670090,"Mills, Wyatt"
681217,"Silseth, Chase"
657508,"Baumann, Mike"
612434,"Castro, Miguel"
605525,"Wendelken, J.B."
519008,"McFarland, T.J."
686610,"Waldichuk, Ken"
621295,"Wittgren, Nick"
502624,"Anderson, Chase"
642546,"Hernández, Jonathan"
592741,"Shreve, Chasen"
669160,"May, Dustin"
675627,"Grove, Michael"
664337,"Yajure, Miguel"
446321,"Detwiler, Ross"
656818,"Overton, Connor"
594311,"Gustave, Jandel"
656464,"Ginkel, Kevin"
657272,"Uelmen, Erich"
665001,"Kelley, Trevor"
501925,"Smith, Joe"
657770,"Stout, Eric"
660787,"De Los Santos, Yerry"
547001,"Poteet, Cody"
607481,"Bummer, Aaron"
622075,"Almonte, Yency"
664948,"Misiewicz, Anthony"
543507,"May, Trevor"
669358,"Baz, Shane"
660730,"Rodriguez, Elvin"
676534,"Faucher, Calvin"
670059,"Holderman, Colin"
663989,"Vespi, Nick"
657053,"Toussaint, Touki"
656686,"Martin, Corbin"
570663,"Robles, Hansel"
622065,"Young, Alex"
642028,"Rogers, Josh"
622250,"Sborz, Josh"
572403,"VerHagen, Drew"
657240,"Merryweather, Julian"
621366,"Borucki, Ryan"
658431,"Medina, Adonis"
669713,"Wesneski, Hayden"
