t1,t2,t4,t7,t11,t39,hr_hat,HR_hat
0,0.89,13.1,0.014184397,97.9,88.29032258,0.0814790924860608,0.0814790924860608
0,0.89,8.771186441,0.033898305,99.24,88.29032258,0.0868942844690575,0.0868942844690575
0,0.93,8.672,0.031496063,100.96,85.0625,0.09290051751402563,0.09290051751402563
0,0.96,7.0,0.028776978,100.36,83.79014085,0.08380914759390201,0.08380914759390201
0,1.14,5.376811594,,98.3,84.18055556,,
0,1.14,8.07751938,0.062015504,102.78,84.18055556,0.13931957661673916,0.13931957661673916
0,1.14,8.96969697,0.030075188,100.54,84.18055556,0.10575576477463548,0.10575576477463548
0,1.1,17.45925926,0.036764706,99.62,76.59166667,0.10489862135097672,0.10489862135097672
1,1.15,10.77205882,0.066176471,105.28,84.91555556,0.1863886524364589,0.1863886524364589
0,0.97,10.91338583,0.015748031,98.4,84.05319149,0.077812547614617,0.077812547614617
0,1.14,15.27007299,0.02189781,101.14,92.41090909,0.15195426508978505,0.15195426508978505
0,0.92,8.03539823,0.044247788,105.14,82.8,0.12186359625071982,0.12186359625071982
0,0.73,3.719008264,0.024590164,101.1,89.3969697,0.07404741613841669,0.07404741613841669
1,0.73,13.57142857,0.045112782,101.02,89.3969697,0.10562114213554308,0.10562114213554308
0,0.73,12.16296296,0.014814815,97.2,89.3969697,0.06797300157733606,0.06797300157733606
0,0.73,19.76190476,0.019047619,97.94,89.3969697,0.08970129954261116,0.08970129954261116
0,0.89,14.01639344,0.008196721,93.36,92.64285714,0.06542458668853035,0.06542458668853035
0,0.92,16.62637363,0.10989011,101.7,88.29032258,0.18451399067979124,0.18451399067979124
0,1.29,18.00819672,0.06557377,102.36,86.13404255,0.21369059814385882,0.21369059814385882
0,0.87,16.26548673,0.097345133,104.44,86.10714286,0.1906370881052715,0.1906370881052715
0,0.94,15.84375,0.062015504,103.16,85.14745763,0.1525946052728056,0.1525946052728056
0,0.94,8.884955752,0.07079646,106.44,85.14745763,0.1650392189335624,0.1650392189335624
0,0.94,14.34444444,0.055555556,101.84,85.14745763,0.12980269131003971,0.12980269131003971
0,1.3,10.38613861,0.04950495,104.5,91.59074074,0.21385718646204674,0.21385718646204674
1,1.12,8.3,0.033333333,104.44,92.42765957,0.16378473841917604,0.16378473841917604
0,1.12,22.13445378,0.05,99.14,89.6328125,0.16706044398058303,0.16706044398058303
0,1.02,12.62857143,0.160377358,108.4,88.02727273,0.3582169307577978,0.3582169307577978
0,1.02,8.923809524,0.104761905,113.72,88.02727273,0.36484628498360644,0.36484628498360644
0,0.98,15.94573643,0.062015504,105.4,90.31521739,0.20788466690548288,0.20788466690548288
0,1.04,8.013245033,0.039215686,101.5,88.29032258,0.11578634217025771,0.11578634217025771
1,1.04,6.766990291,0.038461538,105.64,88.29032258,0.14877205841820834,0.14877205841820834
0,1.04,17.44680851,0.095744681,103.4,88.29032258,0.22045128988685822,0.22045128988685822
0,0.84,16.968,0.056,103.02,85.0625,0.13910939788014234,0.13910939788014234
0,0.84,25.5703125,0.069767442,100.26,85.0625,0.15439120666608705,0.15439120666608705
0,0.91,5.283185841,0.03539823,104.14,83.79014085,0.10276821236801881,0.10276821236801881
0,1.09,8.391304348,0.034782609,102.46,84.18055556,0.11651593555746878,0.11651593555746878
0,1.09,11.18461538,0.022900763,101.7,84.18055556,0.11302111046442913,0.11302111046442913
0,1.02,10.75206612,0.024590164,100.5,76.59166667,0.08221131899705746,0.08221131899705746
0,1.02,21.0990991,0.063063063,101.5,76.59166667,0.1389364505505547,0.1389364505505547
1,1.12,23.765625,0.0078125,97.34,84.91555556,0.11449364697766035,0.11449364697766035
0,1.12,9.145299145,0.033898305,102.6,84.91555556,0.12473807671800487,0.12473807671800487
0,1.12,8.294642857,,95.34,89.54545455,,
